id,asr_transcript
16,ndaa m bee ni firiye ka n yɛli ya ni bɛ ka o kpɛma yɔɣu kɔbu na o nyɛ bɛ kapikuas ili mina nyaŋ zuɣu ziim bee o nyɛ ka naa n yɛli din ka zaŋ yɛligu nuu zuɣu zaɣi kɔbu yɛla kana o ŋɔ kaa gbalidaa ami o nuuzuli ni ka o bɛri kam ka yɛligu beeo nnyɛ o fɔri m bee nyaŋ zuɣu ka n nyɛ azaŋzani ka nyiɣi sɔŋ o nyɛ kpɛma ka m be yani ka yɛni ami o nyɛ pam soli o yɛli ka o nyɛ ye bɔrila ye zaa ka dɔɣi ti n ni yini o nyɛ o niŋŋmaɣa
18,alo n daa din yi bɔri yɛsim m bia sɔŋ maa nsɔɣim silɔn gbini yinili kɔbiga wɔɣibu ka n yi zuu ka ti di yɛla shɛli ka gbinitiŋkpam pam nyarim ka o ti gaŋ kɔbiga shɛli o tiŋ kpe o kpiŋtibu zɔŋ nyuli amaa kaman n sɔɣim baɣim o yɛliko diɣindi ni o pam ka yɛligu o kuli biɛla amaa o daa tuma o deei kuli o daa tuma zibu ka mi nyɛ o nyɛ yɛla fili o nyɛ ni kaa nyɛ biɛla ka m bɔrila yɛsim ti din sɔŋ o ka ti paɣim ka ti ti o hɔspitali kana nti di mali li n di ni
19,ndaa ka yɛla paɣi bɛn ti ma ka chambu zaŋ n na biɛla biɛla yisa o nyɛ dia ndaa nyaŋ dii yirisi ka kukoo nam bi zim o yɛkɔŋ o diɣindi ni o pam zaa yɛligu ka yɛla o nya kpe aa kana o nuɣ pɔɣim daa ni o yɛligu ka o tɔɣim o ŋɔ ni o ni yɛli yɛligu ko ku be kayi maan nyɛ o din paɣi mbee ni ŋun do di ka bɔr o ka ti yɛli di aa ka yɛla bɔri nyɛla wala daa
22,n daa bi kɔŋ yɛligu kapilkus eli mina nyaŋkolim ka n bɔri nwuligi mpɔɣa a do bɛ tori tuli kɔŋ waa ka kaɣi daŋgbani o guu kaa noya bɛ zaɣa ka o kɔŋ pa wur o ŋun gbini ka ziim bee o ŋun guu o nyɛ o zɔhi yɛligu o daa biɛŋ ka o nyɛ bɛn tuma ka o kuli dagbana di maa nyɛ silom mbea o nyaŋ nuti ŋmee yi sɔŋ yikɔŋ yɛm mali maa bala ziim ke ntaa ntaa zani ma
23,n daa yɛla kɔhim paai m banzɔŋ ka nyɛ tamali kɔɣili yilili mpe bɔritɛn kaa gbini o bɔri yilimaŋ ka bɛn koni o zaŋ o amaa o tiŋ tɔɣa paai o tiŋ lahikpahim ka ziim bee o paai ti bɛn kpɛni o bibia o zaasim aye moligu ka o yili ka o nɔŋnɔŋ ti mali zolo o yɛla n yuli ham za maa yɛm diga yɛm ndaa sɔŋ maa ti ko ŋɔ nyaŋnyaŋ balatima ti nyɛ yɛla ti sadio
24,n daa ka yɛligu paɣimdaana ka ti bi a soko kumasi nindaana o nyɛ o wuso o kuli kɔbu din ka ti suɣiri o daa o yiɣi bee o amaa ka yiɣigu ka gba gbim ka gbaŋ paɣim o ŋun ni o nyuŋ o nyɛ ka o kum daa ka ka nyɛ ka yɛla bee din ka gbaŋ doo o pam nnyɛ komi nnyɛ o yusiri kani maa di nuu nsuɣ o kɔbu din pɔɣim amaa o ka bɔri yɛliyɛli ndaa ti bɔri sɔŋkayi zaa wa ka ti biŋa ka siɣiri bala din nindaan ŋɔ yɛla ka gbaŋ paɣim
25,n yuli di isa n firi shɛli atidɛnt din kuliko o daa suhim pɔyɔn kpɛma adua o daa nyaŋ zoli ndiri ka turi turi daa o chaŋ ka o gbini o yɛla ka daa yɛligu paɣim amaa o tiŋ yɛligu o yɛli ka yɛligu daa ka saha beɛla bee o tiŋ bee o tiŋbee pam biɛla ka o tolilaa pam biɛla amaa o bɔrila nindaana awam min o yɛla solim
27,ndaa mpuɣi ni n daa nya yɛla bikaadum kumasi kɔbina gbini kɔn yɛlimbi o kpindoŋ kɔŋko nti o ŋungbaŋ zuɣu o ti nindaandaa naa daa ti bɔri la tɔɣim o kpaɣisi tim bee ka yɛligu tu kaŋmani o la ziɣi nyuli abina a ntɔɣim paɣi yɛla ni a gbee o yɛli ka ŋun yɛligu ka yɛlitɔɣim o ŋun yɛligu ka ka daa naɣim o ka o kpaagim ti bɔri ŋun zaŋ o dɔɣi ti sɔŋ ti domin o ka ti pam ni o bɔri zuu kudaa
28,n yulidi o fɔri nfiri yila ka n yɛli niŋbi o kpiŋ la n hawai zuɣu ka suba kpɛŋ kpɛma bi o yulidi yaau o gbini nyandaŋ ngbia o kpiŋ doo zuɣu o tini yɛligu daatoo nyɛ o nuu bei o kpiŋ o tuma mi bi ŋun kaa nyɛ too ŋun kaa nyɛ too o zee mi naɣi soli ŋunkaa amaa ka yɛligu bia o ti o taa kpiŋbu maa yɛla o bi kabiɛla laba o kpɛma too o nindaana ka tɔɣim daa pam la na
32,ndaa ninsɔŋla chaŋ ka yikaya yili ka wula bɛ ye di cham so bela di mi nabihi saba o wusu kpɛma na a bi duɣu dindin tiŋa bɛ dir o ŋun ni o bo o zaŋa mi yi nyɛ amo n yi o shɛli ka n ni yi yɛligu toobu mbɔri pin di nira ka n niŋ o chɔɣu buɣim tibili o yɛ chaŋ yɛla diri ka o nyɛ m bi ziiri ka o booi yɛligu o daa biɛŋ beŋ o ti soli yɛla amaa o bi yemaŋ nkphɛma na a bɔri sundaa
33,ndaa ariba arichidintukum o nyaŋkɔntigbaŋ zaŋ kumasitama li nyaŋ zuɣu i jura saɣim kaa yini di o kaɣa din o bipuni ka ŋun chɛni taɣi taɣi o ŋɔɣim bee o paɣapaa o nyɛ o yɛla ka o gbiri ŋun ti soli amaa o nyɛ o maa yɛla o gɔri gbanni ka be a yɛligu bi o ŋun saɣim ni ndaayi maa sɔŋ bolibu o gbinitaɣi duɣimdima ka ti bi ŋmani lee ŋa lee o ni o maa yɛla bɛn ti zaŋ o kolin yɛla
37,alo n daa mɔɣu maa zabili la maa yɛligu maa naŋ maa kur abina o atahi gbino ka naviriŋɔ ti yili saɣim o mila biɛla o pila ka bɔri yini ani ayɔbu suɣira kaa din gbuni o tiŋ ni amaa o ti mali kuli o ti soli yɛla daa o bela daa ka o tiŋ yɛligu o daa ti oi ka tiɣiri gbaŋ bee duɣu din ni maa din bɔrila ariba maa din firiŋ ndaa bɔrila ni yinaa ni ti nyɛ o la ka ti gbichi o bee ka ti di naawuni
38,n daa n yɔri o fari ka m bɔri kul yɛligu bi ka naɣila savilibu saɣim tamali yɛndi nyaŋ zuɣu nindaan bi o yɔri naadide o kpɛma paali k o naagbima timtim nyaŋ daana ka o gbim nyɛ o zuɣu m minaa o daa naakaɣi biɛla zuɣu ka bɔɣuwum daa gbini o zuɣu o beri yɛligu diɣindi ni o gbali saɣim amaa o nyɛ o ti sol la o bee kuli na o daɣila zaɣa amaa o ka tɔɣi yuya na m bi o ni yɛna ka m bɔri maa sɔ m biyɛni fira ambulan chɛ ka yiko nyɛla yili daali
39,alo ndaa m pɔɣa afia o asctudɛnt baŋ o sua mi kumasi doo ti yili kolim doo o bi ti ni kaɣidio bo amaa naawuni ni o ti soli o pam ni o diɣindi yɛligu daa o yɛsim ngban o di o yɛsim doo amaa o gbaŋ yɛligu o wubu ni o kuli bee nyi ajɛman m be o kolim ti yili n daa ti bɔri nnyɛ tuma bɛn ti bandi ti mali ni bim ba ko
41,ndaa ndon yaawu o gbini achidɛnti la nyaŋ akɔra kumasiha wayi zuɣu ka bee nsawam saɣim maa yɛligu ndin ba foori o tuoi paɣa ninduu biɛla fira maa nyɛli ma o ni kaɣi yin tɔɣi o zuɣu ka o bi nyaŋ kuɣibu o nya kpiŋgu biɛla bee o di yaara pie ka naŋsim yini wala ayi ka o yɛli ma o diɣindi ka o ŋmahi yɛligu ka yɛligu saha ka o ti pɛlim nkpaŋ nnyu nnyu amaa o solim mbi yɛla o guri yɛla ndaa mbi yɛni saŋ maa o ni ka yi firi ambu lan chɛ wala kaɣi o doo nyɛla yili ka laɣim
42,ndaa m be yini nyɛli ka bɛ yɛlibu bɛ ni kul bɛ maa saa din chɛ saviligu ndobihi fu seeni o tichɛma o bee yi bɛnkɔɣibu wɔribu ni kolim ninsala yumbalima ŋmali o ni be mbɔri o pɛli bɛ sur o gbinni bɛ dɛɣim o nuu din o gbini ngba bɔri ni hal bo o nuu nyɛ yɔɣimdaana o da wuhila o nuu ka yɛligu o kuri amaa o ti soli ŋun ni o be n yɛla mi tuma abubakar ninsaɣibu firi maa din yɛlibu chaŋ ndaa ka ninsaɣibu yi maa suŋ o bo o ti chɛ ma daa
44,ndaa yɛla tiim paɣiko tuma ka bee yi dansumanka mpaɣi kpɛma ifua o gbini wuntɔko o yɛla bee ka daa o tiŋkpiŋ yini kɔŋ ka a nyɛ o tiŋ yi yɛla n zɔn daa o daɣiti ni o tiŋbi o bi diri gbini ka o ka kpɛm tiim ka n yuli naa nnyɛ o tintɔmbiɛla ka yi bi lali daa bɔri ɛfua kpɛma ka o ziimboo o o nyɔŋ yɛligu daa ka o bem ndaa yi sɔŋ yi ka nyu gbali ye yi bɔri sɔŋya yi ka m bi wuhi
45,alo n daa m bee pɔɣu abigaili o bi huhi jɛsika nyaŋ so natrotu yi o nuu ŋun dali o bia pɔɣ o tɔɣ shɛm piini ayopɔin maa bi ŋko o n yɔɣiri hadija ka yɛligu bi o ŋun zoli ka o ŋun ŋani bɛn yɛligu biɛɣu bi o so amaa o nyɛ o yɛla o kul o zaɣa ni ti doli ti bi o subu din ni o nyɛ o maa kpara amaa m bɔri yɛligu ni o be ka yɛligu ka gbaŋ
46,n daa ka yɛla kolim paɣa kɔhi ka m bɔri n yɛla ni n du a amuni tari bɛn naŋ dɔɣi o hohoi jasika nyaŋ sɔɣim niriba naŋnyuo bɛn nan nyɔɣi o ŋun ka o timtim yɛligu o daa amaa o nya tibi la ka o guri yɛligu daa n da ŋɔ ka yɛla ka ŋɔ tooi n yuli di abubakar n naŋ be ndua chɛ shɛli yɛla nan dɔɣi ti bɔri nira ni o ni ku sɔŋ ti kana ti yɛla ka ti bɔri nnaŋti yɛla ka ti di bo na ti bɔri naŋmalli barika o nyɛ o maa ŋɔ tio
47,n daa m bɔri koli adi pam yɛla m bi afim ŋɔ n yuli din fɛlichia ka n gbini yiri pam bɔɣu yini m bee nya kama bɔɣu di chaŋ ŋɔ ka n tiŋ ŋɔ yoli ka n nuu di yɛligu amaa ka yɛligu ŋɔ bɛ ti gba soso yɛligu kura ni tɔɣi biɛɣa bi o yɛra n gaa zee n nuu yoli yoli ka ka nyɛ di tɔɣu la din kpiɔŋna
49,ndaa atidan pɔhim buhii jɛsika nyaŋ so din ka yɛli tooi beɛla din bi yɛligu salom o ni abɔboya so ka aboboyaa nogbini nyaŋ so zuɣu meya yɛligu suli mana kam ni gbeeŋa lala a yɛlikɔhi ni bia noti soli waa o nyɛ o maa yɛla ka o gbeya yɛlim amaa o berila diɣindi ni pam yɛligu bɛ lala o yɛlim naawuni o kul ti kpɛla bɛ kani nti gbal o amaa nyɛligu ka dɔɣi ti bɛn wula o paɣa
52,ndaa ka yɛligu koligu daa nyɛ ka n ti bɔri sɔŋzoliŋ nsirim bela apiɛhibia o gbini koo kpɔŋnuu koom puɣo o daa nyɛ koomtali ka ti bɔri o tuɣo ka ti tuɣɔ kao maa nyɛla ka o ti soli zoliŋ ka o daŋindi ni o pam daa nyɛ ka bɔn daa kpɛhi ni yaha ka a nyɛ ka ka kuli daa koli ŋun pam apiɛhi bee ka ni o yɛligunoo yɛligu yɛligu ka a yi bɔrigu yɛli din o ti ŋani ŋani soli ndaa yifiri sɔŋ zoliŋ ka o nyɛla ka daakuli maa yɛligu daa yɛli daa n yɛla maa mi m bini apiɛhi yɔɣu nti bɔri ni
53,ndaa kul bi nyɛ yɛligu ka o tiko ka daa so lan yɛli zaa bia din be kalan din gbeya ka o gbini din nya wuhim din beetali yɛm zaa ni nab biɛla ajua o gbini yili ŋun buri ka ŋmani din be ka yili ŋun palli ka o ti kpiɔŋla n yɛla ɛh o nyɛla dabinya daa o nuu gbani shɛli k yɛligu daa ka o yɛri din saa o tiri o nuu shɛli nnyɛ emefa nnaɣili kanima o mabia ka n nyɛ o din wuhibubo ndaa yi maa sɔŋ ka ka bela yɛligu daa yi ti ka bi ka pam
54,alo nyɔɣi ramatu m bi yɛligu nzo o yɛla bee din kul tama li yɛndi nyaŋ zuɣu saviligu doo zuhila bɛ yini asari o bi ka doo zuɣu nnyaɣi posi din bi nyaŋ doo o bee bee o bee kum ntuɣisi posi bɛ kaa zuɣu o bi tuɣisibu ni posi yini gbini chaŋ nka ka o diɣindi zuɣu paai o laa ntib o maa o tiŋ zuɣu nyɔɣi ma amaa o na o diɣindi yɛligu daa ka o nali nyuma bi ti gulli o diidie ntoli ka niiba asari din nyaŋ doo ni ka o bee chɛ maa ni nzo bɛ yɛla pam ndaa firi ambulanchi o maa naa bo o tiŋ yɛligu nnaa bɔɣ o
55,n daa m bee yɛni n goli achidɛnt din kɔɣa ka ŋuni kapekuas n naɣinli bɛla afia o atahidio nyaŋ zuɣu kpɛti marikɛt digalana o nyɛ biɛla wula o sipiayi bee pia ata ka ni di kɔɣ ka o yɛligu daa o nyugbun diɣa ka ziim bichim u ŋun zuɣu amaa o ŋani ka o busiri maan nyɛ alhasan mini di maa bɔri la yɛligu barika o ma o nini kana o kɔŋ o daɣim ka bɛ nyari kaa ka bɛ di o kpe oli ni
56,alo n daa sɔŋ maa mpeo asante kaɣi diniu ko dɔri maa ahinkro nyaŋkpɛmdo ka a yɛligu paai o bia din o pɔɣibu ata awee wala pia ka o tiŋ yɛligu paai paai o tiŋgbe ka ziim bee o paai mi ni ngbuŋ o kɔmbo ni bɛ soli tuma ka bɛ nyɛ binaa daa bi di ndaa yi sɔŋ maa ni shɛli bo o bi zɔ ti kana di ka yɛligu kpɛm beeo yi wa ni viɛla
57,alo n daa m bela o fɔri o zuɣu ziŋbu o yɛsili kɔŋ tamali ka ti yili ŋɔ o bi kom kpiɔŋ saɣimdina ka komnim di ŋɔ yɛni o chɛbu o diɣindi ni o pam niŋ ka a yɛligu kul chɛ paai ka o niŋ gbo yɛsiri bala ni bee yɛligu paai ndin yɛl kɔfi nyi o ba biɛla ŋɔ bee diridiri ka o nɔri paai be ŋin maa m bɔri gbara ka bɔri yɛta ka ti soli ti tioi nyɛla yili baa ti tuŋ o ma ka ti yili ŋɔ bala
63,n daa ŋɔ bɛ tiŋkɔŋa buaso ka m bɔriko n yɛ nyɛla n yuli din bi o fɔri m beya ni yɛli dabi ŋun puɣiba yuli din bi na adide a boboya a kpiŋ o nyaŋ zuɣu ka o gbini ku zaɣa zaɣa o ti kpaha o ŋun nyaa ka o yɛliko ŋun yɛlig o amaa o nyɛ o maa ni zoli ka o gbilim yɛla biɛla biɛla ka nyɛla ka bom paɣa adaa amaa o bɔri so bala ka o kpaha o ŋun nyaa zuɣu ni ti sɔŋ o wula
64,m bela amo o be nsɔŋ ma tuma koŋ nyili ka la yɛndi o nuu gbe dɔɣim ka zaa o li nyu ka ka toori kɔŋ bee tuma pam naa la o kpali ka ka nyu kada yɛli zaa nyu biɛla dila ŋun kaa yɛli zaa nnyɛ idam mbɔri dii la nnaanyiɣila din kpiɔŋni o nyɛ alaafee ka dini bi zɔɣim o bala amaa o ziim bee la na a zoli
65,alo ndaa n firi chaŋ ka bia biɛla muni tari o gba chaŋ ka zilinli kpihi o ka n bɛr o daa ti bikin tampo gari nyaŋ so o bee kumasi ka o yibu o zaa danni zilinli kpahigu o diɣindi ni pam so yaa bia doli piini ayɔbu kɔbihi o niŋ o so yɛligu daa niŋ pihilinaa abee ka o gbini ka o niŋ o doo so gbani ka n pam yɛligu o bɔri o bee so yɛla ka o diri yɛli ka naawuni sɔŋ maa be isi o naayilipo ka n bi ni o yibu o din amaa ti bɔri nnyɛla yɛla bia ti ni diɣim nyɛla yili ka ti be ka tini nyɛ ka ti naɣi din
68,n daa m bee yini n yɛli ŋun diri maa nyɛla yɛndi m pam nyɛla asari o kpɛma kuli o nuu ka din ka be o yili din o wuli o nuu ka yɛligu sɔhim daa o nuu bɔɣim bɔri n yuli din o wusu nti nya o kani ka n vi yiŋ yɔhim din mɔɣi din bee yɛla nnyɛ din o nuu yɛla o be wunibo amaa o nuu yɛligu o daa sɔhim o kpaŋ o nuu nya yi yiŋ kuli kun sɔŋ bela nyɛli yi o bɔri din o mɔ
69,alo nyɛ maa n yɔɣila dila m bi yeni nfiri sɔŋ maa ka n sab achidan din kpɛŋ ka kapikuasma sɔbibu yɔɣi kpodo o ti biɛla daa o wuhiri din o bi karili pia awee wo pia ayi lannaŋ toturi gbin o nyaŋ zuu o tiŋ yɛligu ka kaziim bee o daa o tiŋkpɛmtɔɣim k o yɛli ka o tiŋ yɛligu o puuni daa amaa o soli daa o bi yɛlibu la timaŋa o chɛ nyaŋnuu o gbaŋba dir o sibu ndaa ti bɔri sɔŋ ti bɔri din ti bɔri di ti bi biɛrisi din ti bɔr o bɔr la wala o bɔro dee nyɛla yilla nɔŋ yi maa sɔŋdoo
71,ndaa m biyeni nyɛli yin actudɛnt din kɔhi ka gbari ŋ kana navuriŋɔ n yuli la muni tari ka n fira yin nyaba asari tuma shɛri tahi din kpiŋ o nyaŋ zuu ka di ka bi nyaaŋa daa o nyɛ taɣim o bi kul yɛligu diŋ amaa o tiŋ yɛligu daa ka o nyɛ ka yɛligu bi o ŋɔ ti nyɛ yintaŋka doo di nyɛ o ti gboyiɣu daa puɣim bi amaa ka tiŋkum kɔri amaa ti bɔrila ka dɔɣi ti nyɛ o ka di di sɔŋ ka nyɛ akul taɣimbi
73,n daa m be yini n tuma yɛla bin kɔhikuɣa bɛ paɣ yo mankɛsim doo kumasikapikɔs nyaŋ so n yi yɛla nteoi vida ka bɛ paɣis o yɛla nti abubakar o bee pia anu wala pia ayɔbu bi o zuɣu o kpɛŋpamnim bin bee nyaŋ doo so ngbeya o kpɛŋ kum pam wala niŋbindali k daa zɔŋ pam kunti biɛla bin bee shɛli o daa gol o suɣiri o tuma yuliya ŋɔ naawuni pɔŋa ka ka o nuu gbini din bimba bee ŋɔ o suɣiri naga o nuu bee toobu ka o zoli o ni lalibu miri m bɔri la dɔɣi ti wala nindaa naŋdi pahi o din suŋ o wuhiri o ŋɔ o tuma ŋɔ zaŋ ka o nyɛla
74,ndaa atidɛnti bi kpɛŋ takuradi kapikus nyaŋso anumabo daɣi diri m biela o yili salom kaa ŋmee o bi yini piɛhi saha o gbini nyaŋ so o ŋun ni o ŋun tirigili gbɛrigu kpɛŋ o daa na aziim geeya o ŋun la amaa o nya piibu ni o gbara zaɣibu nyili akosua m bi nyaŋ so nnyɛ o kakpɛŋ daa ninsalimba chɛŋ o daɣi diɣa mbɔri suŋ yi wa nyin kpiɛŋ maa dɔɣi ti ni o nyɛ biɛla la aye
75,alo n yɛligu din bi maami mbe kuri ka n yɛli yɛla bansiba wula din naɣi kini timpu kɔhigu nyaŋ din bee tamali nindaana din yɛligu din be wula o yɛligu din be wuri do ni bi doli na o naagbe o so ŋunkɔhigu ni kpe o kutɔrinsi o kpɛma ka o bi tɔɣi ka o ni di o gbini ka o bi ŋani doo ziim bee o ŋunkɔhigu ni ndaa yɛla ni ka yɛka yɛligu o bɔrila sɔŋ ziezie agara din na o bɔhim yɛligu
77,alo n daa m bikɔfi o kpɛŋ achidɛn tooni takuradi kapikuas nyaŋ din a nomabukɔm mi yɛla o maama n yɛligu ilinam kaa yɔɣi o wo o ti nyaŋ dɔɣim din o yɛla biɛla wuhim pi a yɔbu gbana ka o kpɛŋ a yɛligu bi o tiɣim o diɣindi kom ni o paŋ kom din o bi soli o daa yɛribu o bi dɔritia ŋun bikɔŋ ɔ yɛligu doo yɛligu be o ka n bɔrila mpi yɛla ni ti bee nyaŋ atidɛn din du doo
78,n daa kul ke bɛ ye ka kuli ke pali ka bɛ techi man ka m bɔri sɔŋ n yuli di bo ɛfua ka m bi ye ka m dau biɛla yɛligu yɛla ku zuɣu o gbinigbana koligu o yi chɛ yili ka ŋun pe yuu zuɣu ka din daa zoli o ti soli anye amaa o beye ka a yɛligu daa o kpɛra la ka o nyɛ mini niŋa ka a bɔɣibu ti bi soli ka ye o ti bi o maŋ yɛla ni a naɣu
81,alo n daa sɔŋ maa m bela mawuli prajii dɔɣi o gbaŋ wula yiko hoi jɛsika nyaŋ ni ziɣi ka a bela dɔɣi o gbini ka o nuu yɛligu daa o saɣim be ka o nyɛ o nuu amaa o tinfili tiŋ nzaɣ kpaaŋ n yi nyɛla bɔr tiŋ nnyɛ o ba n daa yi tumi ŋun gbal o bala biɛla yɛligu nyin kaa zuŋ o ta shɛl la m bɔrila dɔɣi ti ni o wa gbal o ka n ti yɛli a lala m bili biɛla yɛligu nti bɔri yɛla ndaa sɔŋ maa
82,ndaa m bi yeni n yɛla kur din malika yɛliga sɛntral nzuɣi bela amo a boboya gbini o nyaŋpalli beɛla naa o yɛligu o yɛla ka aman shɛli pia aweeni ka pia o tiŋ yɛligu daa a chidan pun o tiŋkpilnli ka o so di tiŋzuɣu daa o ti soli kaa ka o maa yɛla beeo ami ka yɛligu nyaŋu daa ka ti bi yɛli bala n yuli nyuli fatima ka ti bɔrila o doo bɛm bi nsɔŋ ti ka yi nyi bɛn ti bi bɔra di wuhiri ti
84,n daa m be ye ni firi yɛla ti nyaŋ aksidɛnt biŋ beela akɔra kapɛkus nya ŋɔ win ni bi zaɣiri la mpe o akuba bɛ tortura ŋɔ mbee kakaɣi yɛ ŋɔ naa ti o totura ŋɔ yuu tiŋyɛligu daa o tiŋ ŋɔ yima o pa kul di nyɛ bɛ la o bie lan niŋ pihira ni awea yɔbu la ndali ka diɣinima bi o zaɣiri nyaŋ ka bɛ sɔŋ o la n yuli nii kamaa bi bɔrila o zaɣiri amaa n wahifiri yɛtuɣ naɣili ka yɛ nin so kul ti i gba o yira
86,m pi o gifiti kaɣa daa gbi o tariko zuɣu ti yili dam o ye kpɛma nindaana ka kaɣa daa gbi o tiŋkpɛŋ o tiŋwuni ka ziim bee o hali maa yɛla n daa maa nya kabina n ye o deɛma biɛla ndaa o pa kulo tiŋzani ka pam yɛligu o daa yɔɣim ti ti gbaŋ hali o zuɣu sɔŋ maa piri ambulansi ndaa o bɔri nyɛla yili dama dama
