id,narrative_fante
10,"Me din de Asare, merefrɛ sɛ mebɛka biribi a esii Elinam ho. Ɔreduadua jollof wɔ ne flat mu ha Adenta — pressure a ɛwɔ pot no mu maa lid no pue fitaa fitaa, na steam na nsuo hye a ɛwɔ mu hahaa too ne nsa mu — ne forearm no so. Ngogote reba n'anim wɔ ho, na cucumbers no ase yɛ kɔkɔɔ, na ɛyɛ no yaw paa. Ɔte hɔ na ɔreka asɛm, nanso burn no yɛ duru, na ɔse ɛyɛ no yaw daa daa, ɛrekɔ so sene. Yehia nimdeɛ sɛ yɛbɛyɛ deɛn ama no seesei ara."
11,"Me ba Kojo nya owiaw ɛnna afei wɔ ha Assin Fosu, bere a ɔreboa wɔ carpentry shop no mu. Dua bi tuu hwe fam kɔ ne nsa so kɔ taa no kakra, enti mogya retu no kakra — nanso ɔtumi keka ne nsa yiye ara. Mene Kwasi, me ne ne agya. Yɛahorow ama no yie, na yɛato ntama ahyɛ ho, nanso meretwe me ho aba reka ama mo se — ɛfiri se ɔyɛ abofra ketewa, na menim a yɛhia de no baabi anaa dea."
12,"Me pa wo kyew, biribi bɔne paa na ɛaba wɔ Cape Coast-Elmina ɔkwan so. Aberantewa bi, Appiah, kar bi bɔɔ no ma ɔtuu fam, na ɔhia mmoa ara seisei. Nan no — mese nan anaa nsa — ɛyɛ no yaw paa, sɛ fracture ne ho, na mogya retu paa. Me ne Maame — na mekɔ so na mhunuu no da ɔkwan ntam hɔ, na nnipa a wɔadwinnoa no so, na obiara nnim deɛ ɔbɛyɛ. Me pa wo kyew, mma mmoa ntɛm ara — abofra no hia help seisei ara."
13,"Me pa wo kyew, mepɛ sɛ meka biribi a esii ha wɔ Dambai. Me hɔhoɔ ba, Fatima, OA taxi bi bɔɔ no wɔ ɔkwan so — accident ketewa, na abofra no hwee. Me din de Edem, mene ɔkwan a mefrɛ no. Ɔwɔ cut wɔ ne nan so na na ne nan no ho ho bi wɔ hɔ, nanso ɔnantew kakra, enti yennhunuu sɛ ɛyɛ kɛse paa. Yepɛ sɛ yedi hɔ yiye na wɔhwɛ no yiye."
14,"Me din de Mawuli, merefrɛ sɛ merebu nsɛm fa abofra bea bi ho — naa ne din de Sena. Ɔyɛ adwuma wɔ ɔkwan ho, wɔ Kumasi-Sunyani ɔkwan so, bebi a ɛbɛn Techiman, na ɔreyɛ farm work, na nneɛma duru bi tuu agu ne nsa so — mese ɛyɛ ne nsa fam no, ne nsa asu hama na ɔntumi nsa no yiye, nanso ɔhunu ne ho na ɔrekan asɛm. Ɛnyɛ asɛm a ɛbɛguan n'awakyi, nanso ɛyɛ no yaw paa na ɛsɛ sɛ oduruyɛfo bi hunu no ntɛm ara. Me pa wo kyew, obiara a ɔbɛtumi a ɔmmra mmoa no — mmra mmoa Sena!"
15,"Me din de Kofi, na merefrɛ sɛ merekyerɛ wo asɛm bi a esii me nuabarima Asare ho wɔ yɛn fie ha Cape Coast. Mmarima bi baeɛ na wɔhyɛɛ ase kasa teaa no, na obi de nsa bubuiɛ no tiri so. Wɔatwitwa no kɔkɔɔ kakraa wɔ hɔ, na ne kɔn nso yɛ no yaw kakraa, nanso ɔte hɔ na ɔrekasa. Ɛnyɛ den paa, nanso mepɛɛ sɛ obi nim asɛm no."
16,"Me pa wo kyew, merefrɛ sɛ merebu nsɛm bi a ɛsii opanyin bi, Kwabena, ho — ɔkwan a ɛfi Cape Coast kɔ Elmina no so. Ogyaa no — mete sɛ nsu hyew bi anaasɛ biribi hyew kaa ne nsa — anko ase koraa, na n'ani so yɛ kɔkɔɔ na ɛyɛ no yaw kakra. Ɔne me din de Ofori — mererekɔ na mihuu no na mesii ase sɛ mɛboa no. Ɔyɛ opanyin nti na mesuɛ no, nanso ɔte ne ho, na ɔreka asɛm. Yɛhia obi a ɔbɛba na wahwɛ no yiye pɛpɛɛpɛ."
17,"Me ba Naa Akorkor hyew sɛ owia yi ha fie ha wɔ Sunyani. Ɔredan agodie wɔ kɔtɔkɔ nkyɛn na ɔkaa asanka hyew no na ɛtuu hwe nsa so. Ne ho nhoma no resu bubuw na ɔsu su paa, nanso ɔda ho na ɔrekasakasa. Me pa wo kyew, me din de Fatima na mepɛ sɛ wokyerɛ me sɛ mɛyɛ dɛn maa no ansa na yɛatumi aduru hospital."
18,"Me kunu Selorm otuu fam nnora awia ha yɛn fie ha Nhyiaeso. Ɔreyɛ dua ase na otuu na ɔkɔ buee ne nkyɛn so yie. Me din de Ama, meyɛ ne yere. Ɔse ne bruwa ne ne yafunu ho yɛ no yaw kakra, nanso ɔtumi siesie ne ho, enti menyɛ sure sɛ ɛyɛ kɛse paa. Yɛpɛ sɛ yɛhu sɛ yɛnde no bɛkɔ baabi anaa yɛnyɛ dɛn."
19,"Me pa wo kyew, biribi asi ha Bantama nnɛ awia yi. Me hɔhoɔ ba, Issah — ɔredie aduane wɔ ɔkwan nkyɛn didiabea bi mu na kerosene stove a ɛwɔ hɔ no flames pue faa n'anim ntɛm ara, na ogya a ɛfiri no no bɔɔ ne bruwa ne ne yafunu mu. Ɛnyɛ kɛse papa — ne ho nhoma no apɛmpɛn na eye no yaw, na ɔrenya nkwa ne ne kasa yiye. Me ne Kweku, na mewɔ beaeɛ no ho ara bere a ɛsii. Obiara bɛtumi ba shia ne ho hwɛ? Ɛfiri sɛ yɛnnim sɛ ɛhia treatment anaa dea."
20,"Me pa wo kyew, biribi asi wɔ Bolgatanga-Bawku ɔkwan so, Navrongo beae no nkyɛn. Ɔbarima koro, Kweku, ɔyɛ dropping taxi bi mu passenger, na tipper truck bi bɔɔ wɔn. Minnim saa sɛnea ɛkaa no biara, nanso bere a yɛduu hɔ no, ɔtɛ fam na ɔde ne nsa kyɛ ne tiri, na ne kɔn yɛ no yaw. Ɔhunu ne ho, nanso ɔda sɛ obiara a ne tirim nte ase — ɔyɛ confused. Na ne tiri so na ɛwɔ ntwa ketewa bi a mogya retu no. Me din de Adwoa. Meyɛ onipa bi wɔ wɔn a yɛgyinaa hɔ na yɛboa no no mu. Me pa wo kyew, yɛhia obi a ɔbɛba ha, efisɛ yɛnnim sɛnea ɛyɛ den pɛpɛɛpɛ."
21,"Me pa wo kyew, mepɛ sɛ meka biribi a ɛsii ha wɔ Ho town centre. Abofra bi din de Kpodo, na ɔreye adwuma — mete sɛ ɔreboa kari nneɛma anaasɛ ɔreye labour work bi — na biribi tuu hwe ɛkoɔ n'nsa so maa eeyaw no. Me din de Fatima, mene onipa a ɔrefrɛ no; na mewɔ beaeɛ no ho ara a ɛsii. Abofra no nsa yɛ hono kakra, nanso ɔtumi nante na ɔtumi sisi hɔ, enti enye den paa. Nanso obi nhyɛ mmra na ɔnhwɛ no, efisɛ ɔyɛ abofra na yɛpɛ sɛ yɛhunu sɛ ɔho yɛ."
22,"Me pa wo kyew, biribi asi Cape Coast-Elmina ɔkwan so na mepɛ sɛ meka ho asɛm. Me nuabaa Adwoa na ɔwɔ trotro bi mu a kar foforɔ bi bɔɔ no — kar no baa firi baabi a yennhunuu no, na ɛbɔɔ won. Wotoroo no wɔ ne tiri so na ɔreka sɛ ne kɔn yɛ no yaw paa, nanso ɔrenhunu na ɔreka asɛm. Me din de Selorm, na mewɔ ne nkyɛn seesei ha ɔkwan ho. Yehia obi a ɔbɛba boa yen, efisɛ mogya retu no a ɛntotɔ."
23,"Me pa wo kyew, biribi bɔne paa aba ha wɔ yɛn agya fie wɔ Tamale. Me nuabarima Boateng, kar bɔɔ no wɔ ɔkwan so bere a ɔreba fie, na wɔde no brɛɛ ha, nanso ne nan mu yɛ bɔne paa — wɔapuntuw no na mogya retu no bebree na yɛntumi nsi no. Ɔyɔnko ketewa ni, efisɛ nkron na edu mpo n'aboɔden ntwa, na ɔsu resu na ɔwosow na yɛn koma atow ase ma no. Me na mi, Hamza, me na mifrɛ, me pa wo kyew yɛhia mmoa bi mmra ha ntɛm paa efisɛ yɛnnim deɛ yɛbɛyɛ."
24,"Me pa wo kyew, bɔne kɛse bi atoa ase ha wɔ Asokwa, Kumasi — opanyin bi a wɔfrɛ no Owusu bɛhyɛ nsu mu bɛyɛyɛ na yɛsuro no paa. Ɔrehome ara, nanso ɛyɛ brɛw na ɛnyɛ den, na ne tiri ne ne kɔn hyɛ mu na ɛhwɛ strange paa, sɛ biribi yɛ no yaw wɔ mu. Me din de Kwame, meyɛ ne hɔho, na me na metwe no firi nsu mu, nanso ɔntu so yiye koraa. Me pa wo kyew, yehia mmoa mmra ha ntɛm ntɛm efisɛ onipa yi yɛ opanyin na ɔhwɛ serious paa."
25,"Me din de Issah. Merefrɛ sɛ maka accident bi a ɛsii ha Suhum. Ɔbaa panyin bi, Adwoa, ɔretwam ɔkwan no mu a trotro bi bɔɔ no kakra na ɔtuu fam. Enye sɛ ɛyɛ den paa, nanso ne nan yɛ no yaw — ɔse ɛyɛ no yaw na nsɛnkyerɛnne kɛse bi nni hɔ, nkutoo nkutaa bi wɔ hɔ. Ɔtumi yi ne nan kakra kakra, nanso ɔhia onipa bi a ɔbɛba na ɔhwɛ no yiye."
26,"Me pa wo kyew, biribi a ɛyɛ hu paa na ɛasi ha wɔ Techiman. Me hɔho ba, Abenaa, kar bi bɔɔ no wɔ ɔkwan kesee so anɔpa yi ara — kar no bɔɔ no na ɔtuu fam korakora. Ne nan, me susuw sɛ ɛbɔ, efisɛ ɛbɛn bɛn a ɛnsɛ sɛ ɛbɛn saa na ɔntumi nyi no mpofirim, na mogya nso retu paa. Ramatu wɔ ha ne me na yɛn mmienu yɛyɛ ne ho bo, nanso abofra no da hɔ pɛɛpɛɛ — ɔnte ne ho koraa. Me pa wo kyew, soma mmoa bra ntɛm, abofra yi hia hospital seesei ara."
27,"Me pa wo kyew, biribi atoa m'agya-na-okunafo ho ha wɔ Adum, Kumasi. Kwabena tuu fam anɔpa yi — ɔhwee ɔkwan dan so na ɔbuee ne tiri ase fam. Ɔyɛ opanyin, enti yɛsuro paa, na ne kɔn nso ɛyɛ no yaw, na ɔntumi ntwɛ no yiye. Me ne Abenaa ha, meyɛ ne ba-na-okunafo, na seesei no ɔnyae kuna, nanso ɔkyinkyin kakra na ɔreka sɛ ne tiri yɛ no yaw paa. Yɛhia onipa bi sɛ obeba ne ho hwie no, efisɛ ɔntumi nsɔre ne ho sore ankasa."
28,"Me din de Ofori. Merefrɛ wo na mente nsem bi a ɛsii wɔ N1 highway no ho, Kasoa nkyɛn. Opanyin bi, Yaw, ɔtuu fam — me susu sɛ ɔsɔre wɔ ɔkwan no nkyɛn — na nʼnan ayaw yiye, ebia nʼnsa nso. Ɔtumi keka mfatamfata, nanso ɛyɛ no yaw paa, na ɔntumi sɔre nʼankasa. Ɔnyɛ ɔbarima ketewa koraa, enti yɛsuro nʼakyi."
29,"Me pa wo kyew, biribi serious paa ada ha bebiara Adidome ho, Ho-Accra ɔkwan so. Opanyin bi, Wiredu — ɔyɛ me wofa — ɔretwam Volta so wɔ canoe dua bi mu, na canoe no buee ase. Yɛtumi tow no firi nsuo mu, nanso ɔkɔ ase yiye paa ansa na yɛatow no aba. Ɔrehome, nanso ɛyɛ ketewa ketewa, na sɛ yɛfrɛ no din a, ɔntua aso. Ɔno bruwa haw — ɛwɔ hɔ sɛ eswɛll na ɛnni saa. Me din de Dzifa. Me pa wo kyew, yɛhia mmoa — mmra ha ntɛm paa, efisɛ ɔyɛ opanyin na yɛsuro paa."
30,"Me nuabarima Ibrahim wɔ accident — ɔte aboboyaa mu na aboboyaa no daan fam akyiri yi ɛnnɛ awia yi ha Mamprobi faako a yɛte. Ɔtuu fam na ɛyɛ ne nan yaw, nanso ɔntam kakra kakra nti mennihu sɛ ɛyɛ den paa. Me ne Abigail, me ne no te ase. Yehia sɛ yɛhunu sɛ ɔsɛ kɔ hospital anaa yɛbɛtumi sie no efie ara, efisɛ ne nan no ahyese kakra."
31,"Me pa wo kyew, biribi a ɛyɛ hu paa abɛyɛ Kumasi-Sunyani ɔkwan so, Techiman side faako. Me wofa panyin, Mawuli, ɔkɔɔ accident mu — kar bi bɔɔ kar a ɔretra so no, na wɔakyekye no yaw paa ne bruwa ne ne yafunu ho. Opanyin no yɛ yaw kɛse paa, na ɔntumi ne nkaka so ntena ase koraa. Me ne Hadija, mɛhɛ scene so ne no seesei, na yɛretɔn atentetenyi sɛ yɛde no akɔ hospital, nanso yehia mmoa ntɛm paa efisɛ ne yɛ mu yɛ hu paa."
32,"Me pa wo kyew, biribi bɔne na esii wɔ yɛn compound ha wɔ Dichemso. Mmarima bi na wɔkaa Owusu, opanyin a ɔte beae a ɛbɛn entrance no ho — wɔbɔɔ no wɔ ne tiri ne ne kɔn ho. Me de Amoah, meyɛ ne hɔhoɔ, na sɛ metiee dede no a merediɛ so mepuee abɔn hɔ na mefaa no wɔ ɔsori fam no ho — ɔtee no confused na ne kɔn yɛɛ no yaw paa. Ɔnkolapuse, nanso ne ho nyɛ koraa — opanyin no hia mmoa."
33,"Me nuabaa Araba hyɛɛ accident mu nnɛ awia no Kumasi-Tamale ɔkwan so, bebiaa a ɛbɛn Ejura hɔ. Kar bi bɔɔ kar a ɔne ne ho ko no mu, na ɔbuaa ne tiri yie paa — ne kɔn nso reye no yaw bebree. Ɔtee nkɔm na ɔrekasa, nanso ne ho nhyia yiye na ɛho hu sɛ ne tiri ho aho foforo. Me pa wo kyew, yehia mmoa efisɛ yenim nhunu sɛ eye safe anaa a wobenya no de ne ho ko baabi."
34,"Me nuabaa Ekua tuu fam pintinn ha wɔ Takoradi market no mu, me pa wo kyew, sɛnd obi ntɛm. Ɔslipped na ɔhuruu ne tiri wɔ fam no so, na seesei ɔnnkasa biara na ne kɔn nyinaa yɛ weird paa. Me ne Asare, na mewɔ ne ho a saa biribi yii. Ɔrehome, nanso ɔnnsakra no koraa — mogya retu firi ne tiri mu — ɛyɛ den paa, me pa wo kyew, mma ntɛm!"
35,"Me pa wo kyew, mepɛ sɛ meka biribi a asi ha wɔ Nima. Me hɔho ba, Issah, nkwankwaa bi buae no anwumere yi ha kwaakyer — wɔbuae no, na wae no wɔ ne nsa mu, na ɛaho no saa nnɛ. Me din de Fuseini, mene onipa a ofrɛ no. Abofra no nkolapuse ɔ, nanso ɔkɔm no yɛ den, na ne nsa reye no yaw paa. Yehia sɛ yɛnhu sɛ yɛnde no ayaresabea, anaa yɛnyɛ deen?"
36,"Me pa wo kyew, biribi asi Bawku kwan so, Zebilla nkyɛn. Ɔbarima afoforo bi, Nii Kwei, tipper truck bi bɔɔ no, na ɔtuu fam yiye yiye wɔ kwan so no so. Ɔnkolapuse oo, na ɔnim ne ho, nanso ne nan no hyɛ hɛ yiye — ebia fracture, anaasɛ ɛyɛ no yaw paa — yɛnni sure. Me na me yɛ Akosua — me rekɔ na mekaa accident no ntam, na nnipa bi abɔ no ho hyia hɔ. Ɔhia mmoa sɛ wobeyi no afi hɔ, efisɛ mintumi gyina ne nan so mfii biara."
37,"Me pa wo kyew, me nuabaa Abena, OA taxi bi bɔɔ no faam wɔ yen efie ano ha Navrongo. Ɔyɛ abofra bea, ne mfeɛ bɛyɛ edu nsia pɛ. Motobaik a — aane, taxi no — bɔɔ ne nan, nanso ne ho yɛ — ɔnkolapuse anaa biribi saa — ne nan ara na ɛyɛ no yaw kakra, na kra bi wo hɔ a wagya no. Me na me frɛ — me din de Araba. Me pa wo kyew, yɛpɛ sɛ yɛnte sɛ yɛbɛyɛ no dɛn seesei."
38,"Me pa wo kyew, me din de Ofori na mepɛ sɛ meka biribi a esii ɔpanyin bi ha faako a ɛbɛn Savelugu, wɔ Tamale-Yendi ɔkwan so. Wɔfrɛ no Naa Dedei, ɔyɛ ɔpanyin paa, na ɔreyɛ adwuma wɔ afuo bi a ɛbɛn ɔkwan no ho no, biribi tɔɔ no — mesiw sɛ ɛfiri cart a ɔreyɛ load no so. Ɛyɛ no yaw wɔ ne bruwa ne ne akyi, nanso ɔda hɔ rebɛka asɛm, enti ɛnyɛ biribi a ɛboro saa, nanso ɔhia mmoa. Mɛka ne ho anaa na ɔntumi nnante yiye."
39,"Me nuabaa Afia na ɔka accident mu kɛn fie no ho faako wɔ Suame, Kumasi. Ɔreba fie na kar bi bɔɔ no, nanso Onyame da ase, ɛnyɛ den paa. Ɔwɔ yaw kakra wɔ ne yafunu ne ne bruwa ho, sɛ wɔbɔɔ no hɔ, nanso ɔnyɛ aware — ɔrehwɛ na ɔrekan asɛm. Me din de Agyeman, mewɔ ne ho afei wɔ fie. Me pa wo kyew, yɛpɛ sɛ yɛnim deɛ yɛsɛ yɛyɛ ama no afei."
40,"Me din de Afia, merefrɛ mo enti na accident bi sii wɔ Tamale-Yendi ɔkwan so, Savelugu ho. Ɔbarima bi a wɔfrɛ no Appiah naa ne trotro mu a, articulated truck bi bɔɔ no, na wotuii no fitii mu. Ne tiri so na nsɛm bi sii — wɔkɔɔ no so — na ne kɔn nso eye no yaw, nanso ɔrenya nkɔm na ɔreka asɛm, enti ɛnhwɛ sɛ ɛyɛ den paa. Yɛ ahyɛ ɔkwan ho ase nnɛ, na yehia obi a obɛba ama wahwɛ no yiye."
41,"Me nuabarima Yaw hyɛɛ accident wɔ Accra-Kumasi highway no so, bɛyɛ Nsawam ho. Me na me yɛ Baffour, ɔna me panyin — na obi frɛɛ me se kar bi bɔɔ no wɔ n'akyi bere a ɔrekɔ twa ɔkwan no so. Ɔyɔnkofo, ɔwɔ mfe bɛyɛ dunsia anaa aduonu. Dɛn a wɔkaa kyerɛɛ me no, ɔwɔ yaw kɛse wɔ ne bruwa mu ne ne nkyɛn, na ɔntumi agyina tratrase, nanso ɔnim nea wɔreka kyerɛ no — ɔnhaw no kɔ mu bi, ɔrekasa. Me pa wo kyew, yɛhia mmoa na yɛnde no kɔ hospital ntɛm ara."
42,"Me pa wo kyew, mepɛ sɛ meka bɔne bi a ɛsii ha wɔ Savelugu anwumere yi. Me yɔnko, Fuseini — ɔyɛ opanyin — ɔresan fi market no mu baa baabi a mmarima bi kɔɔ so de no na wɔpɛɛ sɛ wɔde ne sika kɔ. Wɔpushuui no fam na wɔbubuui ne nsa no bere a ɔpɛɛ sɛ ɔtia wɔn, na afei ne nsa no ahoahoa na ɔntumi mfa so koraa. Ɛyɛ no yaw nanso ɔteɛ hɔ na ɔrekakasakasa. Me na meyɛ Abubakar — obi frɛɛ me bere a ɛsii no. Me pa wo kyew, obi mmra boa no efisɛ ɔyɛ opanyin."
43,"Me pa wo kyew, mepɛ sɛ meka accident bi a ɛsii Cape Coast-Elmina ɔkwan so ho. Ɔbarima ketewa bi a wɔfrɛ no Darkwa, aboboyaa bi bɔɔ no bere a ɔrekɔ through ɔkwan no so, na ɔtuu fam. Mene Edem, na megyinagyina hɔ ara bere a ɛsii. Ɔsore dada na ɔrekaakaa, nanso nan bi yɛ no yaw kakra, na ɛwɔ cut bi wɔ so. Yehia obi sɛ ɔmbɛhwɛ no, efisɛ yennnim yie sɛ hwee broken anaa."
44,"Me pa wo kyew, biribi eyi ara asisi ha wɔ Dansoman. Me nana Efua, ɔtuu fam owia yi na ɔhyɛ mu den paa — nʼanan baako atwi akyi ɛkwan a ɛnyɛ yiye koraa, na ɔntumi nnyina so. Ɔreyɛ sɛ ɔbɛsian firi steps no so na ɔsleepse maa ɔtuu ase pintinn. Me din de Naa, meyɛ nʼaberɛwa, na yɛn hu suro paa efisɛ ɔyɛ opanyin na ɔsu efi yaw. Me pa wo kyew, yɛhia mmoa sɛ moba ntɛm ara."
45,"Me ba Abigail na ɔrebɛkɔ wɔ Hohoe-Jasikan ɔkwan so a trotro bi bɔɔ no fi ne akyi. Ɔyɛ abofra baa — akyi, mfe du nson ana. Me na me ne no na, me din de Hadija. Ɔyɛ me yaw wɔ ne kɔn ho na ne tiri so nso wɔ kunta kakra, nanso ɔda wakye na ɔrekan kyerɛ yɛn. Yɛwɔ ne nkyɛn seesei na ɔte sɛ ne ho yɛ, nanso me pɛ sɛ obi tɛ sɛ nea asi."
46,"Me pa wo kyew, biribi bɔne sii ase na mehia sɛ meka ho. Me adamfo Muntari, wɔbɔɔ no fɔ wɔ Hohoe-Jasikan ɔkwan so — nnipa bi bɔɔ no. Wɔbɔɔ no wɔ ne tiri so, na ne kɔn nso eye no yaw, nanso ɔda hɔ rekakyerɛ ɛno na ɔno nso retee, enti minsusu sɛ ɛyɛ saa den den. Mene Abubakar — na mewɔ ne nkyɛn bere a na ɛsii. Yehia obi a obɛba abɔ yɛn ho kwan, anaasɛ wɔmka kyerɛ yɛn deɛ yɛnyɛ, efisɛ ne ho nyɛ koraa."
47,"Me pa wo kyew, mepɛ sɛ meka biribi a asi me ho wɔ ha Axim. Me din de Felicia, na mituun fam wɔ efie mu saa owia yi — me redi fiem stairs so na me nan sɔre. Ɛyɛ me nsa na ehuruu, nanso ɛnyɛ den paa, yaw kakra ne swelling ketewa bi. Metumi sti sɔre no kakra kakra, enti menna adwene mu sɛ biribi broken."
48,"Me nua Kojo tuu fam saa anɔpa yi ha Wa Central, na ɔhaw ne nan. Ennyɛ saa bi a ɛyɛ den paa — ɔrekɔ kakra kakra, nanso ɔrelimp na ɔreka sɛ eye no yaw. Me na mfrɛɛ sɛ Amankwah — mene me na mefrɛ ɛfiri sɛ ɔnpɛ sɛ ɔkɔ hospital, nanso me susu sɛ wɔnsɔ nhwɛ no yiye. Me pa wo kyew, obi betumi kyerɛ yɛn sɛ yɛnyɛ deɛn?"
49,"Me pa wo kyew, biribi sii Hohoe-Jasikan ɔkwan so ha kakra no. Abusuabaatan bi, wɔfrɛ no Selorm, ɔtene pragyia so na pragyia no daneɛ fam wɔ ɔkwan so hɔ. Me de, me din de Sulemana — mekɔɔ hɔ a na saa asem yi resisi. Abofra no ani da hɔ na ɔreka asem, nanso ɔreka se bruwa ne yafunu mu yɛ no yaw — sɛ wɔ n'ahoniawa mu hɔ. Ennyɛ hu papa koraa, nanso yɛsusu sɛ obi bɛba na ɔnhwɛ no."
