id,roundtrip_en
42,"I'm sorry, I've predicted what he did here Savelugu Friday today zanzan. One person is really — Fuseini — married to him — is in a coma at work before those who turned him over and gave him his money. His hand is finished and his hand is now good; I can't touch his hand. He went on a job, but he answered it and said it. My Abubakar — I got one person before the presentation changed. I laughed, you joined him, because he stayed with him, he learned you."
44,"Don't be alarming, it was made here by a grand sale Dansoman. Mama He is lazy, he is quiet today morning, and he appears in the big world — a foot on which he is bad at the door that I'm not going to, and I can't change a. She seems to have sun dry today's time, and she has died of tuberculosis. You too, Keep me in your place, keep me in your place. I'm going to be the biggest one here, because I've learned her husband, and she went too far — she has kept a good hand on going to the sea. I've complained, along with my good heart, I wanted to see my pastor — they have now gone here."
45,"Hello! I'm stunned, thanks to me. The girl's name is Abigail — ten on Hohoe-Jasikan's door, and one mishaps an accident behind her back. The girl's child — adopted this second as this. I'm on her mother's behalf, my name is Hadija. She went on to me in her throat, and the month on the head is about two. But she answered, she's telling us. We're getting her now. We're getting her. All right, I'm going to be looking for a community, I'm too late. I'm going to ask a staffer what you've done. Thank you."
46,"I looked forward to one thing and I looked forward to you. The middle house, Muntari, was painted on the Hohoe-Jasikan door — many of them went towards it more than he had. I was disappointed, and he replied to me about it, but he answered and bought in it, if it was like the first thing. I am Abubakar, for him to make the sale, is in him. I've never buried one person together with himself, or you have described you in the mirror, only shows as a creature on the show, when Muntari is in poor direction."
47,"I'm sorry, I've gone to tell you what he did to me now Axim. I'm Felicia, and I've gotten out of it this past year — in one of the person who is new in front of me, and I've got a smile. I'm going to take her away, but I'm not forced today — she went to me for a short time, and I wasn't serious. I can't let her go at herself, if I hear it over."
49,"I berieved, one sale immediately follows the Hohoe-Jasikan door. One son, he makes a name Selorm, is on pragyia, and pragyia is on the door like. My name is Sulemana — I'm beating the door and the sale is done. The child reaches the point of view, he begins to see them, but he proceeds to allow me on his child's throat and arms — as in the middle of his story. What I worry is he's not coming well, but medos that someone has come to see him. I've laughed, brought someone to see him."
52,"I've always had a big deal here, Sunyani, and I've lost to me right away. I've been very little about home knowledge, Appiah — a kid's chicken — has gotten out of water, and left with the exception of herself and you can't start it. But he always hopes for her, and he runs out of life, wasting life, ruining life as if it doesn't make life. If you take care of her, she is horrified with a garden, she had something like what happened to her. Appiah survives, but she rushes to say life, like life goes away — and if you see her, say it, she doesn't come out. I've laughed, look at me right away — Mama is my name, and it's just like here here in cult."
53,"Don't be alarming, you're going to be fired at Bawku. My own daughter's lover, Adjoa, is dead where there is a large field on the fence, and what she gathers, ehhh, is inefficient. Her price is high and it goes great for me, and I can't. I'm cool, I'm in charge of herself, and her brother doesn't like it, like stuff is cool for me. I'm shocked, I want to see my sanctuary, the child goes big for me quickly."
54,"Allo, new one. I happen to Ramatu. I fetch them where another sale takes place — at Tamale-Yendi's door, grab the Savelugu. Another time, another man tells Asare about himself planting war on the door namenamemé, he's seen the men set fire to the trunk of the sacks money. Gbona who, the true one sack laughed at him in his day, came from his child's throat. I wouldn't do anything right but he answered, he grabbed me. But he said that his moon on a child's throat is going to me, and I can't breathe properly — he raised another heart. I fell in time, saw them at the door, and they said I went to tell them. I laughed, came in ambulance just from Savelugu's grave."
55,"I'm not sure, I'm more skeptical of another accident here that killed Cape Coast. I'm more concerned about my celebrity boyfriend, Show, OA taxi than he is, he explained the market itself. You're a daughter of yours, about it being hundreds of thousands more and more. A vote that doesn't make her better — it's going to scare me, and spread out on her, but she's going to answer and think. I'm Alhassan you, I'll take this phone for me, she picked me up right now, and another dropout that lets her go to the clinic."
56,"Hello! I'm stunned! My brother Asante has created an accidentfafi Dormaa Ahenkro, still on the name of the very big door, and everything goes to the country. The child is in motion — the part is also in its name, it is four or four shades. His foot is out of the country — not only on the street, it is also over the month — and there is a heart in the heart. I'm Nii, I'm cool, and a lot of people are making names, but no one is acting. It goes to me, and I can't just beat the foot. I know you a little bit too, you have a fever! Go ahead of it!"
57,"Hello! Ohwie. You, I'm glad to you that our child Ofori, is sent today morning to our farm — the child scarves him to Tamale. He knows, he is from the heart of the app, but is fetching water, he goes to death with a child scarf — in the life. It's OK, the drug comes from him, and the child is spreading it. You, both day is Kofi, not his. The child is in good night, he is in it, and he is quick to survive. I don't say fire — but it's not right with you to save the child's hands, but you're going to treat him in the body? I'll laugh, help me see what you're going to do."
63,"I have no doubt, a plan has come up here Goaso, and I have heard you. My name is Ofori. I have raised you on a woman, my name is Naa Dedei — a prostitute has killed her to the door, and she is glorious. She has mined her, and she has tried to keep me, but she has answered, and she has spread. It's very awkward, but I've been humiliated, it means it's going to get me, and I can't reach out to use it."
64,"Hello! I am an Edem. I'm sorry for them for the salty selling. My son, Amoaah, is passionate about the uses I've been sending to Yendi. The situation, the creepiness of the hand, is clear about the tools I've been wearing. Try not — one world, one world, one heart attack, but one heart attack. It's going to cut out, it's going to be fine. It's sure, but it's getting over it. It's not big enough — it's not great enough to hear what it's doing right."
65,"Allo, I'm single — I've lobbied you about who owns Muntari, mother, three rooms and I'm so excited about it. We're on the coast of Kintampo, the door to Kumasi, the market that is killed by this sale. It's set in dishes with more sales than today — a child is afraid and the family is hurt. The child is smart, he's also a year old for the whole ten, and today the family is very lucky — it's salt on today and there's bliptering in it, but it's also set and it's talking, thanks to God. I'm a woman who owns her, and I'm going to bury her now, but you're waiting for the best thing we can get to get to the markets."
68,"I'm surprised, I missed them another item and the sale he made to a wife where Yendi. The person who is in charge of my birth, Asare, his wife's mother — someone would come to his heart, print his hand in front of him in front of the big one, and now three of these hands. My Owusu, is not in charge of birth, but I've artificial intelligence when he did it, I'll come and see what he did. He or she won't eat, but his hand goes to me, and he can't hand it over to me forever. I've never seen anyone come along with him, or you give him a thing to do today."
69,"Hello, call me Dela. I have heard of the sale here to Cape Coast. By no time, one mishap has gone bankrupt — hiding the evil in the snow, listening to the four of the ten. He has climbed to the big head — he will come on this, and they have explained that he has gone on to me very well. However, he answered. I invited him to the door ten that he had developed a city, and he now has one. I'm skeptical, along with you — you've broken the job you've now done, or kept him going to the markets."
71,"I'm not sure, I'm going to the accident here Navrong. The name is Muntari, and I'm cool but this is viral — the title is Asare, my back. It's the trapping of a voice between the people in the door, but it's not in front of it. It's up, and it's not in the right direction. It's three feet away. It's three feet away but it has no eyes on it. We're done with our little thing, we've got the agreement that eleven is now like a way to see it. But we're afraid it's seen in the hands that it's good and we know the environment."
73,"I laughed at the sale made to a boy Mankessim, at the door of Kumasi-Cape Coast. My name is Mother, and the child is Abubakar — one in ten years or ten years old. It is dry in the open water, it will no longer make it hideable or system, and it dives into the same water as it, and is directed by those who already have reached it. Only this, it is now well packed, thanks to God, but the hand is painful where it is being cut off — it is dry, and it is set for the market as a community. I do do ¥ bo ko so that someone has taken good care of it, as all those, the person has had a meaningful movement."
74,"I wondered, the sale to Takoradi-Cape Coast is over, today, today Anomabo. A boy to write Selorm has a voice in his hand, he has a voice — I can't imagine this being taken for four or ten days. Today he finishes, he heads and reaches the bottom of the door, which is above him, but he survives, so only he can understand. I write Akosua — in the door only that this sale has been done, and everyone is here right now. I'm shocked, I'm helping them to come too, the child is too similar to the doctor."
75,"Hello! My name is Mame, and I engross you on something of itself — a sin against you Kintampo, about the door to Tamale. The recipient of the sin is Wiredu — a wife. People beat us, raised their heads and hearts up. They made us more deeply. He did not care about you, he is holy, and he is heartbroken about the head. I'm more skeptical, the sin he has — he's seen my ass behind him, not just come to him. I'm proud, you've gone too!"
77,"Hello! I'm busy, thanks to me. I wake up Elinam, and I'm Kofi, I'm a kid. Accident hit me in the Takoradi and Cape Coast door, on Anomabo. One vote went above us at the door — the child was four years old for the first time. He was dead and he went on to me in the south nose and arms, the shadow. But I'm not playing for the last time — he listened and was blessed. He went viral to me, and I told you the way and I gave you money. We're just going to sell for the first theft. Thank you."
78,"I was skeptical, a plan worked here for Techiman and I looked down on me. My name is Efua, and I picked them up there Yaw — my own man — he. He killed him yesterday morning at the water of the team. He answered, but he pretends to send me, and I take him in a power. I trust you as if you weren't a good person."
81,"Hello! I'm sorry! This love is over Hohoe-Jasikan, my pragyia ze is a child — a boy I'm God. Motor leaves her, kills her, and just like it touches me, she doesn't — she's in touch with me, but three, she can only touch three things. I'm calm. I'm calm, I'm calm — I'll come and see this child, because the child says well, but I'm not happy to be confused. I'm — I can't make it easy for her. I'll laugh, I'll see a fre ambulance!"
82,"I'm skeptical, I'm skeptical about the auctions that have made here. Amoaah, this kid wake up the housewives — the prostitute is almost halfway through the doors. A child is a real timer, she's three years old after these ten-year-olds. Her feet get notice of this sale — she's tired of it and she can't become a foot on it already. She's sure — she's perfect enough, she's not sure, but she's going very well, and you're getting your mouths in your hand. I'm not Fatima. I'm funny, someone deserves you to be examined, or tell you you you have done what you're going to do."
84,"I belittle you, I wish you would have the sale on the Accra-Cape Coast door, already near the Winneba name. My brother has given me Akua in a twist, and another voice has written them, and he went on to me on his foot — the foot says, and he can't walk on it well. My woman is, like these ten times of a person like if, and now people are at the door. My name is Nii, and I'm at the door watching her now, but I'm letting you freeze the sun for someone to come to her. I'm funny, invite you ambulance."
86,"Female Gifty, division — vote for her all foot to reach this Tarkwa, she refused to give birth to her husband. Her husband divorced her, and she had a strong voice — she had her leg for over a month, and she had a serious heart attack. I am Kwabena, I call her. I can't stand it, and it goes hard on me, it's like going to mine — we have gone so far."
89,"I was skeptical, selling on the Tamale-Bolgatanga door, a scheme of Walewale. Some of the children set up Agyeman — they set him up for the body, and he was well-manned and well-organized. We Amankwah, I also bought the door, and saw this sale, and I fainted for him. He also listened and received a share, but he reached a cool family at the cutlass, and he went on to tell me that he was going well. I laughed, invited someone to me — tell you we gave him a voice to see the Marketers quickly."
90,"I'm very sad, it's very bad before they're in front of a child here. My name is Afia, and I am proud of them about a child, my name Adjei — I'm working, I've got one famous one when hand, I'm scared too. We're on the Axim door right next to Half Assini. The child went so far, we loved her. I laughed, I just looked at us, we got a knife, because whatever the hand thinks, it's pretty cool."
91,"Hello! I'm stunned! My name is Patient.  Evinye Agyeman is in the middle of a sequence in Tumu, and one breath comes out of him, he explodes on his child with his garden.  you're a boy — you're four or seven years old. He answered, he said, but he went on hard. He was deeply scared about it — just the person he had blown up alive, he went on hard with me. But it's not going to worry about the future, there's no secret about it. Take them apart — his skills in the construction site have been cold. We don't know that there's no cure like — no more than a month or more. I've laughed, you've got a cold ambulance, or you've told me what work we're doing now — no one come along with the selfies, right foot to stop writing it."
92,"I'm skeptical, I've lost to things you gave my brother to the kente. My name is Kwame, four years in one year, and it's becoming a house for construction site theft at Accra-Cape Coast fair access to Winneba, but one thing killed him when it touches the market. Kwame says he went on something market, but he shuts it down — if it's not important. I'm Ofori. I'm afraid I'm going to understand that it sounded similar to the clinic you, or you're not going to publish law for him in the year?"
93,"I'm skeptical, I'm skeptical of what he has done here Tumu. I'm very proud of you who Nii, he's killed in the field — he's dry and he's dry on the top of the sea. He answered, he pretends to be like the person he is about, and he has a strong choice of language — but in front of me he's hiding a stone on this, and he goes on to me. I'm Ibrahim — not only in the fear of this, I've come to see it but I'll laugh at it. You'll decide that the world is not over, but you want someone to do it with you."
94,"Hello, my name is Sulemana. A mefrey is written on a single figure, one wife who arranges Baffour. She will be joined by one accidentr Asokwa, to the street where we come from. But when his age is raised, he is blindfolded with his child's scarcity. They will not be afraid to write — they will not be afraid of him in the future, another insect in the morning — but he will go on to hug him with his name. Learn me, if you mean a good life."
95,"Hello! My name is Akua. I enfess you to the evil of a girl you have here. My name when you married this child is Afi. It was ten years old at a time, but she was at a time with this and every one. Swolve down to three eggs, she reached out with a pool of head. We were at Bolgatanga-Bawku's door, only at Navronwoku's grave. The broken wound she was also bad — she grew in the throat of the happy one, in bad luck. She went on childhood, went to me, would give birth to a person, but now, in a statement, too. I'm sorry, you need an individual to come along with me in a different way. Djro is married!"
96,"Oshviee, I'm afraid you will start issues. One sale follows the Tamale-Yendi door, take down the Savelugu session. My name is Ibrahim. I'm on the door, I see a child together, Agyeman, die on his motorcycle door. His foot goes on to me, but he tells me well — he pulls out a time of the door for him, and he has built the foot a lot. He has one now, but I'll feel like I'll try to get someone to see it."
98,"I've lost my temper, big sales here, and I've been down since. My name is Memunaturu, and I've seen you on one more boy — my name is Nii Kwei. It's dry from the very door of Kete Krachi, the bridge in Dambai. It's dry, it's dry, it's dry, it's dry, and it's full, it's full, it's dry — it's not messy — it's scary. When you see it, it's scary and crazy — it's like it has a feel that it has food. The child is crying, one tree and it's filling another room now. We're going to be proud of her. I'm laughing. I'm just going to read someone out here, because we don't know what legal situation it is."
99,"I berate myself, I say the things that make up there Ofrikrom. My name is Kwame, and a child is Appiah — she is a very symbolic child. She is going to sample a construction site there work, and she will be killed by one thing, and she is going to kill her head, and she is going to kill her head. She is sure, but it happens to be interesting caacaa, and she is calm — I'm going to listen to her for you, and we've seen her fire and we've gone on to things that made her. We're afraid one person has joined us, drowned, as it's always been normal."
100,"I have complained, a big sale complied with this house, and I lost my eyesight instantly. My name is Nii Laryea, and I'm clear, I'm talking about a character named Adjei. Adjei becomes at the door in Takoradi and Cape Coast door, xá Anomabo is talking. There are two in the table above one house, and a piece of order kills him on his foot — and the word is not clear, the foot spreads out, and the heart of the tide burns the hide. We will easily bury the foot, in response to heart beatings, but I'll go mad, and you'll tell me about it. I'll laugh, I'll use the congregation task towards the door to confirm the operation on Anomabo. I'll be able to make a thread."
102,"I laughed, two-sales went to the Bawku door today, I feared Zebilla. One-year-old girl, Araba, a tipper truck originally scared him of him under the door, but Araba was at the edge of the door saying. He was empty and he laughed at him, but he answered, he was mad. Watch him on the sea, and he just went on to put me on the sea. I feared Patient — I would scare the person who saw this sale. I was shocked, you would bury someone in a fight for the child who, because Araba was a child, and you wouldn't be sure. Help the swallow!"
104,"I'm not sure, I went to the accident victims who created it here Yendi Senior High School. The name is Issah, and one of everyone, the Time Dela, Praghiafo founded us in the Yendi Senior High School name, its name, but it survived and it wasn't big enough. All boys did it, and it went on to walk me. Get someone out of here right now, and you come in like some like you can show me."
105,"""Unfortunately, I've written my Appiah, I've been happy at Winneba Senior High School. Also one girl, Naa Dedei, has made a secret on the side on the dormitory block, for her to be completed, she's completed on the name piece. She's set up and she's now saying, but she's calm and says she brought me back by taking. She didn't walk away all but didn't congratulate you on finding out what to do."""
106,"I worry, I worry about this at a different sale that has done here at Ho Senior High School. My name is Yakubu, I don't eat a man in this school. Their school who made meals, Elinam — a woman's husband — has a sweet sweet sweet potato — about selling it on the shoulder of a very leaf of food, and the school banana has grown like a reborn, and has thrown out. It has floated on a lot of soil from it, and the mouth of the mouth seems to look like a mirror. It has grown, but I don't care — it's cold. And it's coming out of its head. I'm shocked, you want to help you to die — the woman is married, and this sale is on a lot of a different kind of work. Invite ambulance to a different heart!"
107,"""Unfortunately, I bought your new ones for a girl with your motor — okada — after Accra, the head of the UPSA door was so big. My name is Amoaah, I got a sundrum here, and Yaa was one of our horror lessons. Ten of the captives were behind the reading, he would eat the door, but he was left with an okada Rider — he closed the door, and the head fell on the floor of the sea. But he set it up and stopped you. He got a lot of stuff, and the head was going to be extended, but it wasn't three bad."""
108,"I'm surprised, I've told them their writing here at Cape Coast University — one of them, Sulemana, is more likely to be immersed in swimming pool from this very morning. She goes to sleep with many more people, but she is stranded at the same spot and put on it after growing up. Kweku knows she is laid on it and carried it over to my stomach, and I'm happy to be able to do this writing. Sulemana now responds, but says that she is going to me — she's just kept it very white this morning. It's not big enough, but I still want someone to see it."
110,"I'm not sure, I'm clear about your king Nii Armah — a more sale he showed me this morning T.I. Amass at Kumasi. We're on the science lab. We're doing our practical as on a Bunsen Burner, and the owners will touch the man. She can't say that without mother — she picked up the handwriting one, she's growing up on the job, but her son is sitting on her and the guy says she's going to me. My name is Selorm — not her lab-mate, we've been clear to you that we're going to do something to laugh back at you as we explained the clinic."
111,"I was single, cold at the Kumasi Academy. My name is Wiredu. One sale made its own break time — one of a dozen people placed your kids on a motorcycle today's sports block, and they continued to work on seduction at a time, with Afi coming together at a different angle, and lost a different price. It happened to him and he said it was scary, but his hand was very guilty and crazy. He left me to go for a fair price to search for time. You won't wait for a month, but you want someone to see you help me."
112,"I'm surprised, I've written my name Issah, we have you at Adisadel College here in Cape Coast. Alhassan is at the scene of a child's death, riding on a taxi dropping near a vote, one vote made the taxi handles his nose at the school gate — he is dry, but it's good, it's another one. His foot is on the deck of the rock if, like a scrape and a garden, he has one. He's beating it now, and he has four feet, if not a month, you don't believe he has a toilet. But you're afraid someone has a good look, he wears it at some point — he moves the sun from and it's important to the deck now."
114,"""My name is Naa, I am afraid of Tamale Technical University. Cée Abenaa — a student portrayed — is involved in the car park on the engineering block itself from her hand. The vote narrowly cuts her but is overgrowth. She gathers and is lost to her head — the head hit is salt, and she is sick — but she is calm and distraught. I don't believe you need to pull her out of the hands, tell her she'll be nice enough to be well heard."""
115,"""Unfortunately, I congratulate you before I clear out what he did here Navrong Senior High School. My name is Abenaa, my male serial. He came back to school's maintenance pickup in a bowl-mounted sequence hit the workshop, and found a PE guy, Fuseiini, as the man in the system. He answered — he didn't pay, but he went on to disperse me, and there was a slap on his foot. It is now set, but I want someone to see his nipple, it means Fuseini goes to birth."""
116,"""My name is Kwabena, I went to school Opoku Ware School in Kumasi. This morning, you listened to the amount of economics practicals, and I had one child in class — Baffefour — walked up to the grave for the poison that he was very cool about fresh enough — and this street was painful for you, and your heart fell apart. The market he came to today — is dead in one field, it is clear, and your head has been fixed for clarity, but you know something I'm working on. The exchanger involves changing me to just do what I'm going to fix for you."""
118,"""My name is Naa ShoRMeh, I've made this phone where I come to see Naa Akokorkor, my man, which your accident is where Bolgatanga Senior High School. It's set on steroids — it's set on the steroids of the dormitory shadow above — and it's sure it kills one door to kill it, and it's very dry in the heart and sun. It's calm and calm, but it's said it's going to kill me more than a country in the sun with a child vision, and it can't run out of place. It's not enough for him to set a man on the back time, but it's not exciting to have a way for him, because when that sun is just raining, he's judging."""
121,"I wondered, a sale was made during the cold development Wesley Girls' dormitory and I was also going to make it appear. I was happy, I was in a year old. Two daughters were at the edge of high progress — a sale was made for some Mfantsipim that was set up, and a cut was made by a tree in the recredor. A woman who had seen a waterbottle made her head. She now listens to it, but her head is broken and is saying that she has headed me to the third. The woman who makes the sale is shot in progress, but She was poor — she is not promising someone gave her a try."
122,"I bereave me, a big sale to the Prempeh College foot refers to Kumasi — me Asante, student. A man who is rescued by Kojo is, he wakes up to death early on the night of the great night that will kill you, that he will dry up your life, but also kills his wife on the foot. The foot picks up an off-the-street day, and posts a passage, making it impossible for him to take the foot as if he were one. It is also heartbreaking. Don't let it slip out but keep the eye on his wife — it's good for him over a month. I'm funny, someone come to enjoy this foot."
