id,narrative_ewe
10,"Allo, yèame nye Asare. Mefrɛ wo nyanuie ɖe nudzadzra si wɔ ame si wɔa Elinam ŋu. Elinam nɔa fɔ jollof le efɔ̃ dome fia Adenta — akɔsi dzi ŋgɔ tso asikpɔ ŋu vavãm, eye ece tsɔ ŋku hã fli dzi habọbọ, eye dɔ si le nu dome tsɔ ahuhũ kple tsi vũ kpee le eƒe asi doa — asi ŋkɔŋkɔ sia le eƒe asi gbã dzi. Esiwo le dzi fifia le ɖem ɖem, eye blisters — nudzɔdzɔ ƒe nuwo — le yi dzi le eƒe asi doa ŋkɔŋkɔ sia dzi. Eyi nam vavãm, eye eɖo edzi, le ɖoɖo kple mawɔm, gake wuievivi si tsɔ ahuhu do eƒe asi doa dzi la gblɔa be egayi vevie gbe gbe ɖe gbe ɖe. Meɖekuku, kɔ mia nami be míaɖo dzi trɔ ŋu ɖe eŋu fifia fifia ale afi si ela egɔme."
11,"Allo, meɖekuku, kpe ɖe ŋunye. Nyeŋutsu Kwasi, Kojo ɖeviam ŋutsu. Egbe fia, Kojo xɔ dɔ le carpentry shop eƒa si le Assin Fosu ɖe. Ame le dɔwɔwɔ ƒe akɔ egbea ko, ɣlati kple asi eve ene wɔ dɔ ene, akɔ zu ɣli to asi dzi, eye dzi le etsotso kekeke — gake eƒe asi le se faa, ele ƒu asi le zãzã nyuie. Míawɔ nudzɔzɔ kple eƒe asi dzi, míatsɔ nyagbe woanya do eƒe dzi ŋu, gake ɖevi la ɖo ko, nyeŋutsu, manye nuto to eye mato ŋu ɖo eŋu o. Mibɔ le xɔ asi Asiwo alo mibɔ kpe ambulance ɖe ŋunye? Kojo nyɔ lolo ko, ŋkeke geɖe medoa dɔ o — menyo aɖeke aƒe ana mia yiyi?"
12,"Meɖekuku, nudzadzra gãna wɔ ɖe Cape Coast-Elmina ʋɔ dzi. Ɖevi ŋutsu dzetɔ ɖeka, Appiah, akɔ ɖe eŋu eye esi gake agble. Afɔ tso eŋu — mebu be afɔ, alo asi le — eyi nam kosikosi, abe ɣleti vɔ aɖe la ene, eye dzi le etsotso gãgã. Nyɔŋɔ nye Maame — me le ʋɔ dzi le asi ko la megblɔ na ŋutsu la si do ƒu ʋɔ aɖe dzi, eye amewo le ɖe eŋu gome, gake ameke si dze ŋu wɔ nuŋu o. Meɖekuku, tsɔ kpɔ ŋunye ko, woafrɛ ambulance dze ava sukpɔɔ — ɖevi la ɖi kpɔ ko egbɔ si!"
13,"Meɖekuku, meɖi gbɔ nu siwo wòwɔ afisia ɖe Dambai. Ɖevi nyɔnu si le asi ŋutɔ ŋɔ Fatima — akɔ OA taxi ɖe woƒe ʋɔ dzi wue, nudzadzra kakra wɔe, gake ɖevi la xɔ dɔ kakra. Nye ŋkɔ nye Edem, nye ŋutɔ wòkpɔ. Afɔ ŋɔ la ɖe wo, eye ewɔ fɔ kakra kple boblɔe le afɔ ŋɔ dzi, gake ede ɖoa afɔ la kakra kakra, nenye eye mia gblɔ be dɔ la gbo megawo vɔ o. Miaɖi be woakpɔ eŋu nuto, be woañɔ eŋu gabobo."
14,"Allo! Nyem nye Mawuli. Mefrɛ mi ɖe nudzadzra si wɔ nyɔnu ɖevi ɖeka, Sena, eŋu abe eya si wɔ dɔ gome. Eya nɔ dɔ le afeme le ʋɔ ŋu — le Kumasi-Sunyani ʋɔ dzi, xexe Techiman kpɔɖeŋu. Nu kekeke ɖeka do tsi asi eŋu — mexɔ be asi tɔtro gome le eŋu, eya le ŋuŋu kaba eye mate ŋu ɖu eya nyuie o. Gake eɖo edzi, egblɔ gbɔ, eye eƒe gbɔgbɔ le agbe nyuie. Nu si wɔ le numetata ŋu kpe, gake eyi nam eye eɖi dɔkta kate wo ze ŋu aƒɔ eŋu enumake. Meɖekuku, ame ɖeka ni wa kpe ɖe eŋu. Kpe ambulance ɖe eŋu, eye mi wa ɖe eŋu vovovo!"
15,"Allo, ŋkɔnyé nye Kofi. Meɖe kuku, mefɔ telefon la ɖe afi si ɖeka agbɔɖevinyɔm Asare xɔ nudzadzra to ŋutɔ ŋu yeyé nye afi Cape Coast. Ame ɖeviwo tso de yeyé afi, wokpɔ ŋu wɔ ayaɖi kple Asare, eye ame ɖeka le wome xo ɛ ta dzi. Ta dzi le eŋu fɛɛ ɖeka, eye ɖo yia ŋutɔ ɖeka, gake eɖo edzi eye egblɔ egblɔ. Dzɔdzɔ manye vevie loo, gake medi nyagbe be ame aɖe ni nya nyem."
16,"Meɖekuku, mefrɛ ŋu na mi be menɔa nubɔbɔ ŋu ɖe nu si wɔa ame agbenyaga aɖe ŋu, Kwabena, ɖe Cape Coast-Elmina ʋɔ dzi. Dzo ƒu eŋu — mesu se be nuvivitɔ aɖe, akɔ gã ame ta nu o, ɛnye asi ƒe ŋkume wòtsɔ wu i. Mamlɛ xexe le o, gake ŋkume la ɖoa vivi, kpɛɖɛkpɛɖɛ, eye eyi nam ɖe esime. Nyem ŋutɔe nye Ofori — me le ʋɔ dzi le em eye meƒo ŋunye bena mekpɔ i abe wɔ alesi naɖe kpɔ i ene. Srɔ̃ sia eɖo edzi eye egblɔ na mi — agbenyaga ge, medeka ɖe eŋu be eko wò ame na do. Meɖekuku, kpe ame aɖe va kpɔ i nyuie, de ame bia i kpɔkpɔ nyuie."
17,"Allo! Meɖekuku, kpe ɖe ŋunye! Ɖevi nyɔnu ce Naa Akorkor tsi ɖo egbe ha afime ŋu afim le Sunyani. Eda gbɔ kuku ƒu ŋu eye woxɔ akɔkɔ vevie, eye akɔkɔ vevie ʋoa le asi dzi. Ko le etsotso eye eyi nam vevie, gake edzi ɖo edzi eye etia na ame. Meɖekuku — nyem nya Fatima, eye meɖi nyá be maɖo ŋku le eƒe dzi tso fifia ko eye míate ŋu wɔ nusi míawɔ na eya, eye míaƒu asiwo ɖo."
18,"Allo! Meɖekuku, kpe ɖe ŋunye. Nyɔŋɔ ame nyem, Ama wɔm, metsɔ ŋkɔ nam. Aƒe ŋume le Nhyiaeso, eye nɔvim Selorm, ŋutɔ nyem — ewu ƒu egbe fifia ŋdi le aƒe. Ezo tso ƒe dometɔ aɖe ŋu le edzi, eye eɖo dzɔdzɔe, ewu ƒu ƒuƒu le asi dzi. Eyi nam ko — ɖevi ŋɔ kple abɔ ŋkɔ la, gake eyi nam dzetɔ ko, eye ekpɔ ŋu zã afɔ le eme. Mele su be eyawo le gã si me o. Medina be mele su be nudzadzra vovovo wɔ na ame o. Meɖekuku, kpe ŋkɔ miam — mia nana Selorm la de asiwo, o mia wɔ mi aƒe fifia?"
19,"Meɖekuku, nuɖoɖo ɖeka wɔ ɖe afisia Bantama egɔme egbe nyawo me. Avilɔ̃ ŋutsu ɖeka le haƒe, Issah — ewo ɖu ɖe dɔwɔƒe nu le ʋɔ ŋɔna, eɣi kɛ kerosene stove si le ɖeɖe yayi, fifia agbo tsona gbɔ kpem, abe keli la ene, na ɖevi la ta dzi le eƒe ɖevi ŋɔ kple abɔ ŋɔ. Mede loo, nuwo manya nyui hafi, ɖevi nu le esiwo la xɔ gbɔ, eƒe ŋugbe nyuie, abe nane mado o ene, gake eƒe ŋugbe le edadada, eɖo edzi. Yame nye Kweku, mele egbɔ ko fifia gake nuɖoɖo ne la wɔ. Mɔgbe kpɔ, ameɖekawo ate ŋu wa ƒua kpɔ eŋu, elabena míame mele ezo o be esia hia alɔdzɔdzɔ o gake mienye nyuie be ame wa kpɔ eŋu ɖoɖo."
20,"Meɖekuku, nudzadzra ŋu wo le Bolgatanga-Bawku ʋɔ dzi, Navrongo ŋɔ koe. Ɖevi ŋutsu aɖe, Kweku, ewo dropping taxi dzi gake tipper truck aɖe wɔ accident kple wówo. Mese gake akpa ha abe nɛ o, gake ɣesiaɣi míata ɖe ŋuti, yɔ nɔ anyigba dzi o eɖo ta kple ɖo yi asi. Ɖo yi enam akpe ta abe. Eɖo edzi, gake ene la hã ewo mɔ kaba. Eƒe ta dzi le dzi tsotso kakakaka. Nyɔŋkɔ nye Adwoa. Míe ame siwo kpe nu nɔ ene. Meɖekuku, miafrɛ ame aɖe ava hafi mídzi ku nyanya be nusiwo woɖo la wu hafi loo."
21,"Meɖekuku, meɖi gbɔ nudzadzra siwo wòwɔ ɖe yeyiwo ŋu afisia Ho agbɔme. Ɖevi ƒe ŋkɔ enye Kpodo, eye ele dɔ wɔm — mesusu be eɖoa nuvɔvɔwo ŋu, alo elea dɔ bubu wɔm — gake nu ɖeka wo wu ɛ kɔ asi eƒe asi dzi. Fatima enye nyaɖoa, yɛ̃ nɔm afisia le egbɔ le gbeƒe sia. Ɖevi ƒe asi xɔ titi kakake, gake etutu ɖo le eya dzi, eye esia ko na míɖe susu be enu gãã wɔ o. Gake sɔ̃ ame nava ƒo asi le eƒe ŋu, elabena ɖevi enye eye mídi ɖe ŋu aɖe susu be ele nyuie."
22,"Meɖekuku, nudzadzra aɖe wòwɔ ɖe Cape Coast-Elmina ʋɔ dzi, eye meɖi na mi nusi wòwɔ. Nɔvi nyɔnu ce Adwoa le trotro si akɔ aɖe dzo abe kò wòe ná be akɔ la wòyi dzi be aɖeke mese o — akɔ la va tso xexe ná, wo ko trotro la ŋu akpokplo. Dzi le etsotso ɖe eƒe ta ŋu, eye eyi nam ɖo ŋu te — gake eɖo edzi, ele ɖɔɖɔɛ. Nyɔe Selorm, mele eŋu fifia ɖe ʋɔ dzime. Meɖekuku, dze ame va kpe ɖe ŋumɛ ɖe afisia, elabena dzi la ɖɔ tsotso o."
23,"Meɖekuku, nuɖuɖu nyui tso ɖe afɔliɖoƒe si le Tamale, le ŋɔ yeyiyi ame ƒe ƒome. Nɔvim Boateng, akɔ dzro ɖe eŋu ɣeyiɣi eƒu ƒe ʋɔ dzi, eye wotsɔ wo zi ɖe afɔliɖoƒe sia, gake eƒe afɔ le nu vɔvɔ̃ aɖe me — ewɔ kakaka eye dzi tsotso wɔwɔ kpe ɖe eŋu, míate ŋu dze edze o. Ɖevi nuɖeke wònyea, le ƒe ewo kple esiaaɖeka ene ŋu, eye ele agbe kpem eye eɣi atoto, míele ŋu kpɔkpɔ nyuie o eƒe ƒe. Menyem Hamza, yame le frɛm. Meɖekuku, kpe ɖe mía ŋu, vi gbã, afɔliɖoƒe sia, elabena míenya nusi míele wɔm o."
24,"Meɖekuku, nudzadzra gãtɔ aɖe wɔ ɖe afisia Asokwa, Kumasi — Srɔ̃ aɖe wònɔa Owusu, édo ame dzi le tsi me, eye míeyɔm nyuie hã. Edzi ƒu ame, gake ƒu la yɔ tsitsi kple gblẽgblẽ aɖe, eya kuku me ɖe o, abe nusiwo wɔm le nu me ene. Ata kple ɖo le hẽhẽ kple ɣeyiɣi aɖe, abe nuti le vɔ ɖe nu me ene, eye mídona dɔ ɖe o. Nyeŋu nɔ Kwame — menye ablɔayi ŋutɔa o, nyem aƒe ŋɔ tɔa. Nyeŋu zã asi dɔm tsi me kɔ eʋe asi, gake eŋlɔ ɖe ŋun o nyuie — efua asi ɖe ŋun o nyuie. Meɖekuku, kpe ɖe ŋunye! Frɛ ambulance mi wò va afisia kpuie kpuie, elabena Srɔ̃ sia le nu dzi gãm, eye eme nu le nyuitɔ o ɖe nukɔnye."
25,"Ŋkɔnyé nye Issah. Mefrɛ wo be mena wo dzi nudzadzra si wɔ ŋu afisi mele Suhum. Nyɔnu srɔ̃ ɖeka, Adwoa, eɖo ʋɔ ŋgɔ na akɔ si wofrɛ trotro gblɔ eŋu, eye ewu ƒu. Kaba o — asi le eŋu gake afɔ nyawo eyi nam, eye ehia be ame aɖe a va kpɔ eɖe nyuie."
26,"Meɖekuku, nudzadzra gãtɔ aɖe wɔ ɖe afim ɖe Techiman. Ɖevi nyɔnu si nye agbɔgbɔ ŋutɔ ame ƒe, Abenaa, akɔ aɖe dom eŋu ɖe ʋɔ gã dzi fifia egbe — akɔ la bum eŋu eye ewu ƒu nyuie hã o. Eƒe afɔ vɔ nyemetia o, afɔ la twi ɖe ŋkɔ si maɖo wɔ o eye mate ŋu ze eƒe afɔ la kpɔ o. Dzi vɔvɔe le etsotso. Ramatu le afim kple nyem eye miaɖe eve le esime miatrɔ ɖe eŋu le ŋɔŋlɔm — gake ɖevi la le feƒe o, eɖo edzi nyawo hã o. Meɖekuku, xo kpe kpɔɔ. Ɖevi nyɔnu la ƒe dɔwɔwɔ nyuie nye ale be wòyi asiwo la fifia fifia."
27,"Meɖekuku, nudzadzra aɖe wɔ agbɔ̃ yɔ esɔ be nyɔnuƒe ta ɖe Adum, Kumasi. Kwabena edo ƒu ŋdi sia — ewu ƒu afɔ ŋɔ ɖe anyi eye eta wo ɖe ƒu ŋɔ dzi. Ele agbenyaga me, eye mìtɔ miɖi ŋunye nyuie. Ne eɖo edzi abe ƒu, eye ɖo yi nam ɖe eŋu hã, eye mate ŋu tsi noa ɖe edzi o. Abe nyɔnu ɔ, ŋkɔnyé enye Abenaa, nye ŋutsunyɔnuƒe ɖevi ame — si ke ɔ, eɖo edzi, gake eŋlɔ ŋutinya kakaka, eye eyi nam ta nyuie ŋutɔ. Miɖi ame aɖe a wa kpɔ ɛ, elabena mate ŋu fɔ asi egɔme ɖe eŋutɔ o."
28,"Ŋkɔnyé nye Ofori. Mefrɛ ŋuwò be maɖe ŋkɔ nàwɔ nudzadzra si wò wɔ le N1 highway la ŋu, kpɔ Kasoa le. Srɔ̃ ɖeka, Yaw, edo ƒu — megblɔ be ewu ƒu le ʋɔ ŋkɔ dzi — eye afɔ nyé vɔ ŋutɔ, hã eye asi nyé ƒe sii gake meɖi woé o. Enya nu ɖe xoxo gake eyi nam nyuie, eye emate ŋu ɖo ƒe nyɔ ŋutɔ o. Srɔ̃ wɔ ne, ame axɔxɔ, ne míakpɔ ŋunye, míedi be mí ƒe ŋutsu Yaw la ƒo mi."
29,"Meɖekuku, nudzadzra gãtɔ ame wɔ afii, ɖa kpɔkpɔ Adidome ŋu, Ho-Accra ʋɔ dzi. Srɔ̃ ɖeka, Wiredu — nye ƒe husɔ gã — le eya dada Volta tsi dzi akɔkɔe dzi, eye akɔkɔa vɔ̃ eye etsi me. Míakpɔ mía ŋu ɖe eŋu mia ɖe tsi me egɔme, gake etsi me ku ŋu dzi na eŋu le blim. Edzi ƒu ame, gake ƒu ame nyuie o — nyawo ŋutɔ ve wu ŋu — eye ɣe míafrɛ ŋkɔe ɖe eŋu o, eŋu na míaƒe ƒu o. Eƒe ɖevi ŋɔ kpɔ ŋgɔ dzi nyuie o — ekpɔ ŋgɔ dzi aɖeke wɔ. Nyeŋɔŋlɔ nye Dzifa. Meɖekuku, míeɖi kpɔ ŋunye akpokpɔ — kpe ɖe miŋuwo ɖe afii enumake, ebe eya le srɔ̃ eye míe lɛ dzodzo gãgã."
30,"Allo, meɖekuku sro ŋunye. Nɔvinye Ibrahim wɔ accident — ewò le aboboyaa dzi, eye aboboyaa la vɔ ɖa esia egbe fifia ŋdi, fí kple ʋɔ si le ɖe ŋɔ yɔ ne mía xɔ la. Ewu ƒu eye afɔ eyi nam, gake ele ŋɔgblɔ be eya nɔ zɔzɔ kakaka le azɔ dzi, abe wò te ɔ — nenye ame gbɔ ka loo. Ŋkɔnyé enye Abigail, mele xɔ kple wo. Miaɖi ba wòam se be, na yia asiwo à, ke ablɔ miàkpɔ nu le xɔ gbɔ loo, elabena afɔ la xɔ zɔzɔ didi didi kakaka. Meɖekuku kpe ɖe ŋumí be míe wɔ a?"
31,"Meɖekuku, nudzadzra gãtɔ aɖe wɔ ɖe Kumasi-Sunyani ʋɔ dzi, ɖe Techiman ŋɔ kpokpɔ. Mawuli, nɔnɔ hã le asi — akɔ aɖe dze akɔ si eyi na edzi dzi, eye wotsɔ ɖe ɖevi ŋɔ kple abɔ ŋɔ, egbe le wu aɖe dzi. Srɔ̃ɔ la eyi ŋu to gã, ate ŋu ɖo ɖe edzi ame hã wɔ o. Nye ŋkɔ nye Hadija, mele afɔ la dzi kpɔkpɔ ɖe ŋunye fifia, eye míele tɔgbɔ kɔ ɖe asiwo, gake miɖi kpɔ ŋunye be eƒe dɔwɔwɔ la nye gãgã — miɖi kpɔ ŋunye zi le!"
32,"Meɖekuku, nuvo ɖeka wɔe ɖe afe si mele Dichemso. Aƒomevinyɔwo ɖeka woe xlɛ Owusu, srɔ̃ sia si le ɖe ŋu afɔmewɔm — woɖe xevi ɖe etame kple eɖo ŋɔ. Nyeŋu nye Amoah, mele eŋɔ ame, eye gake me se dɔdɔe ɣesiaɣi, mede eme dzidzi na eƒe ŋkume eye me dze ame eye me mɔ ame le ɖe foma dzi, eɖo edzi kpɔkpɔ eye eɖo le eŋɔ yi eyi nam nyuie. Eɖo edzi o kata gake ezi dɔ o, srɔ̃ ɖia bia kpɔ ŋunye tso midzesia."
33,"Allo! Meɖekuku, kpe ɖe ŋunye akpɔkpɔ! Nɔvinyɔnye Araba xɔ nudzadzra egɔme fifi sia la ƒe ʋɔ dzi — ʋɔ si le Kumasi kple Tamale dome la, fɛ Ejura ŋutɔ. Akɔ ɖeka dze akɔ si eƒu eme la ŋu wu, eye Araba ƒe ta ƒu ɖe gã — ɖo nɔme eyi nam tutú kpɔɔ. Eɖo edzi eye edze gbe le, gake enézé la, enya gbegbɔgblɔ le eme, eye ta ŋɔ ŋu bɛ gã. Meɖekuku, miɖi kpɔ ŋunye nyuie, elabena míe nyí nkeke o be enya kpɔ míateŋu ɖe mi wu eye emegblẽ o. Frɛ ambulance mi! Kpɔ ŋunye!"
34,"Allo! Meɖekuku, nusiwo le hafi — ŋutɔnya Ekua ewu ƒu le Takoradi market fia, eyi nam ŋutɔ. Edo ƒu ɖe ɖevime, kpe eƒe ta wu ƒu ŋu ɖoƒe, eye fifia egblɔ gɔme o, eye eƒe ɖo kpɔ ŋgɔ bibi. Nyem nye Asare — me le eŋu le nu si wɔ la blim. Edzi ƒu agbe, gake eyi o, eye dzi le eƒe ta — nuɖe vɔvɔ wɔ ame! Meɖekuku, frɛ ambulance fifia, miava atitina!"
35,"Meɖekuku, meɖi gbɔ nyawo ɖe woŋu si wòwɔ afisia Nima. Ɖevi si le agbɔ̃ŋutsu ŋunye ŋu, Issah — amewo xɔe dɔ fifia ŋdi ɖe ʋɔ dzi — woyi zi ɛ, eye wotsɔ asi na asi ƒe ɣlɔ dzi, esi le dukɔ dea. Fuseini wòɖom, míkpe wofrɛa. Ɖevi la eɖo edzi gbãgbã — eɖo edzi o, gake xɔkɔ la ku ŋutɔ, eye asie yi nam tɔtɔ. Mídi si ŋu woɖo ɖe o — mibe koa de woɖe eya be mídona ɖe asiwo, ke efoa ŋu be míwɔ ame ƒe ŋkeke la ŋuti dzi."
36,"Meɖekuku, nudzadzra ɖe wo le Bawku ʋɔ dzi, kplɔ̃ Zebilla kɔ. Ɣlɔ ŋutsu ɖeka, Nii Kwei, tipper truck ƒe tɔtrɔ wo kpe eŋu, eye ewu ƒu vevi le ʋɔ dzi. Eɖo edzi — enya nɛ, eƒu agbe, gake afɔa nɔa te vevi — masɔ masɔ ɣleti vɔ, alo eyi nam vevi ŋutɔ — miegblɔ miegblɔ hã mele su o. Nyem nye Akosua — nɔm le gã ɖe taflatse le wòzɔe, eye amewo dada le eŋuti fifia. Eɖi kpɔ ŋunye vevi — ate ŋu ƒu afɔa akpɔ o. Meɖekuku, frɛ ambulance me, wòva kpe eŋu."
37,"Allo! Meɖekuku, kpe ɖe ŋunye — nɔvinyɔnu ŋunye Abena, OA taxi dze eŋu fɔ etɔ Navrongo, ɣeyiɣi le ƒetɔ ŋɔ ko. Eya nye ɖevi nyɔnu ŋutɔ — le asi ewo ɖeke ŋɔ ko te gake. Akɔ a dze eŋu fɔ afɔe ŋɔ. Gake mele dɔ ƒe ŋgɔ o, eɖo edzi nyuie — ewo dɔ ŋutɔ, eƒu agbe nyuie, eye wɔ ŋu sɔ ame xɔ asi o. Afɔe yi eyi enam kpui, eye wu ŋɔ le wu ŋɔ ɖe eŋu. Nye ŋutɔ nye Araba — nɔe nye ame si le frɛ sia frɛ ɖea. Meɖekuku, ɖe nɔ kpe nami be miaɖo dɔ ŋgɔ nɛ fifia nye?"
38,"Allo, meɖekuku — nɔŋkɔ nye Ofori, eye meɖi gblɔ wo nu ɖe nu siwo wɔa ɖe nyɔnu srɔ̃ aɖe ŋu afisia ɖe Savelugu kplim, le Tamale-Yendi ʋɔ dzi. Ŋkɔ ɖe eŋu nye Naa Dedei — agbenyaga wòle, ame srɔ̃ pɛpɛ. Ele wɔwɔ dɔ le aʋa ʋɔ ta fifia, eye nu aɖe do eŋu — makɔ nu siwo ewɔ le ɖe cart si wòle sɔ tso eŋu wòa. Eyi nam le ɖevi ŋɔ kple eƒe gota, gake eɖo edzi, etɔ dzra nuto le gblɔgblɔm, eye enyɔ kakaka o — gake eɖi kpɔ ŋunye nuto. Mele kplia eŋu fifia, eye emate ŋu zu dede o."
