id,narrative_dagbani
10,"N yuli Asare. N frɛ ka n yɛl'ɛ ɣuribu bi wuhigu din gbinni biɛla kɔŋ, o yuli Elinam. O daa ka jollof din Adenta, o yili kɔŋ doo — kpotopoto din bɛ pot' kɔŋ daa, o kuɣa gbiri taɣa, ka nyiŋ daa nɛm ka yi mali, ka bugum mini nii taɣili o nuu kɔŋ, o gɔliŋ bee. Ka doo, o nuu ŋgbani nɛm zɔŋ, ka bɔɣisi bee ŋgbahiŋ o nuu zuɣu, ka yɛligu bee o paɣa. O ti wuhi ka o gbari, a' ka kaa soli, n'ka yɛli ka yɛligu bee o chaŋ ka chaŋ ka paɣim. Ti bori n ni ti bɛ yɛl'ɛ din ti ma malli di kpɛŋ o maŋ doo, ka ŋman."
11,"Allo, N daa. M biɛla Kojo o gbini yɛsiti bine, o daa be kpaŋ carpenter yili ka o goli bɛ ka wuhigu o nuu. Kpaŋ din gbini o nuu ka kpɛhi o suɣulo, ziim bee o nuu la, ama o nuu kpaɣa ka o tɔhigu la daa n-niŋ. Mali yɛla maa — m yuli di Kwasi, m di o baaba. Ti lahi ti zuli o nuu suɣulo ka ti gbani taba o nuu zuɣu, ama m bɔri n zaɣi ama biɛŋ k'a niŋ nindaŋ ni — o tɔŋ bia la, ka m bɔhi sabi bii ti bora n kpe o n-niŋ do waa, kaa n-niŋ n pahi la naa. N daa, sɔŋ maa n gba yɛla maa n niŋ."
12,"N daa, ka yɛli ti kpaɣa pam Cape Coast-Elmina nyɛŋ zuɣu. Bia bimɔɣu, Appiah, kaɣa gbɛ o, ka o nyɛ ʒɛŋ yɛligu pam. O tiŋ — m gori m tiŋ bee o nuu — ka yɛligu daa, bɔɣili o, ka ziim ɣeya pam o zuɣu. M yuli la Maame, m bɛ ŋmɛŋdi nyɛŋ zɔɣu ka m nya o gbini nyɛŋ nisiŋ, ka nima chɛ pam ka o ni, ama bɛ gbɛ baa yɛ o sɔŋ. N daa, yi tili sɔŋ ka naalim mali, bia bori sɔŋ zaŋ zaŋ dana."
13,"N daa, n bɛ yɛ ni n diri shɛli nyɛ ka o kɔŋ Dambai. N tariga biɛla, Fatima, OA taksi gbuni o nyɛŋ zuɣu — accident a yɛ doo doo, ama biɛlɣa o yɛligu. Maa nyɛligu din n frɛ — n yɛligu la Edem. O tiŋ zuɣu kɔri bee o, ani o tiŋ fuɣiri kpabi, ama o daa daa diri laɣim, ka ti nyɛ ka a yɛra ka o yɛligu wuhiri paai. Ti gbɔ n daa ka dɔɣite nyɛ o yeli o zuɣu biɛŋ."
14,"M yɛla Mawuli, n frɛ ka n yɛl ɔ ni pɔɣu biɛla yini, Sena, o nyɛ yɛligu ka o be tuma la. O be ŋmee tuma nyɛŋ daa ni, Kumasi-Sunyani nyɛŋ ŋa, saɣim Techiman, ka kpɛm din bee o nuu — n gbila n yɛl ɔ ni o nuu taɣim ŋa be dɔɣim, ka o nuu yiɣi, ka o be ŋmani o nuu n kpɛŋ ŋun, ama o maa soli, o be yɛla. O nyɛ bi zo o nii, ama ka yɛligu o, ka o bori dɔɣite ka n na o gba. N daa, ŋun yini ti bɔ ti yi o sɔŋ."
15,"Allo, m yuli nyɛ Kofi. N bɛ bori yɛl n deem wuhigu din naɣa m manba Asare ni yɛligu m diɣim kɔlim Cape Coast. Biɛsi nima bɛ ni nalibu, ka bɛ dinsi soli o ni, ka o yini doo dii o zuɣu. O zuɣu gbɛŋ biɛla bɛ, ka o kpɛŋkpɛŋ yɛligu biɛla, ama o ti li soli — o nyɛ yɛla, o bɛ gbiri. Ka din yɛligu ka daa ti bili-bili, ama n nima bɛ so ka siɣum doo nyɛ."
16,"N daa, m bɛ yɛ ni frɛ yɛ ka m yɛl yɛ nɛ bɛ ka o kpɛma yɔɣu, Kwabena, o nyɛ be Cape Coast-Elmina nyɛŋ zuɣu. Ziim bee o nyɛ ka— naa, n yɛl din, ka zaŋ yɛligu nuu zuɣu. Zaɣa kɔbu yɛla kana o ŋɔ — kaa gbali daa, amɛ o nuu zulini ka o bɛri kaŋ. Ka yɛligu bee o. N nyɛ Ofori — n bee nyɛŋ zuɣu ka m nyɛ a zaŋ n zani ka m yiɣi sɔŋ o. O nyɛ kpɛma ka m bɛ yɛ ni ka yɛ ni, amɛ o nyɛ pam soli, o yɛli ka o nyɛ. Yɛ bori la yɛ zaa ka dɔɣite nni yini ka o nyɛ o niŋ ŋmaɣa."
17,"N daa, di puɣu yɛndi, m bɛ yɛ ni n di sɔŋ maa. Nyɛla biɛla tiŋ, m biɛla Naa Akorkor, o kɔɣi nyiyili ka timili gbuni o zuɣu ka o bee ka o yɛligu ti din. Ka o nuu bee ka ziim yɛligu o nuu ni zaŋ, o jiɛri gbɛya o zuɣu. O maa kuli zaa o ŋɔ, amaa o kuli din pam, o bɛ yeli yela. N daa, m yuli di Fatima, n bori la bɛ din m bɛ kpɛ ni m tuma m biɛla ni nyɛla yili ni ba ti kpɛ."
18,"Allo, N daa. Di n yi bɔri yɛsim. N bia sɔŋ maa. N sɔɣim Selorm gbini yinli-kɔbga wɔɣibu, ka n yi zuu ka ti di yɛla shɛli ka gbini tiŋ kpaŋ pam nyɛrim. Ka o ti gɛŋ kɔbga shɛli ka o tiŋ pɛ ka o kpɛŋ tiba zɔŋ. N yuli Ama, ka maa n sɔɣim baɣim. O yɛli k'o digindi ni o pam ka yɛligu o kuli biɛla, ama o daa tuma o dee kuli, o daa tuma zibu, ka mi nyɛ o nyɛ yɛla fili. Ka o nyɛ ni ka a nyɛ biɛla. Ka n bɔri la yɛsim, ti din sɔŋ o ka ti paɣim ka ti ti o hospital, kana n ti di malli n di ni?"
19,"N daa, ka yɛla paɣi Bantama ka chɛŋ bi zaŋ. N nabiɛla biɛla, Issah — o nyɛ dii n'daa nyɛŋ dii yiri si, ka kukuo nam bɛ zim ka o yɛ kɔŋ ka o digindi ni o pam zaa yɛligu. Ka yɛla o nyɛ kpɛɛ aa, kana o nuɣu pɔɣim daa ni o yɛligu ka o tɔɣim. O ŋɔ ni o ni yɛli yɛligu. Kweku bɛ ka yi, maa nyɛ o din paɣi. N bɛ yɛ ni ŋun do di ka bɔri o — ka ti yɛldi aa ka yɛla bori nyɛla wala daa."
20,"N daa, something kuli nyɛ Bolgatanga-Bawku nyɛŋ zu, Navrongo baŋ. Saannaayili din bi, din nyɛ Kweku, o nyɛ passenger kaɣa din bi dropping taxi, ka tipper truck nɔŋ bee din, m n zɔŋ pelma bɛ o nyɛɛ ka o nyɛ soli ti, amba ti gari ka ti kpiŋ palli, o nyɛ chɛŋ ka yɛli o ŋun be yɛli. O nyɛ o maa ni yɛla doo, amba o ŋɔbi n be doɣim, ka ziim biɛla bee o ŋun zu. M yɛligu Adwoa, n nyɛ nima din ti zaŋ n sɔŋ o. N daa, sɔŋ maa, yi frɛ dɔɣite la o din kpiŋ palli, ti n zɔŋ wula a yɛligu nila."
21,"N daa, n bɛ yɛ ni n wilim din kuli gbini ka din to bia din be n ye Ho dindaan palli. O yuɣu be Kpodo, ka o bɛ tuma — n nyɛ ka o bɛ sɔŋ nuu yibu ka tuma baŋŋa — ka din gbini ka yɛligu o nuu. N yuɣu be Fatima, maa n frɛ ŋuno; n bɛ be o daba di yɛli ka din kpɛ. Bia nuu bee pam biɛla, ama o ŋani o ŋani naa be o ni, ka n nyɛ ka o yɛla ni palli. Ama dɔɣite ka yi mali gbɛri paɣa ka naa mali o di nyɛ, baro ka o biɛla nuu n bori ka yi nyɛ din o ŋani."
22,"N daa, bɛ kɔŋ yɛlɣu Cape Coast-Elmina nyɛŋ kɔliŋ, ka n bɔri n wiligi. M poga Adwoa bɛ trotro kɔŋ waa, ka kaɣa dang gbani o guu — kaɣa noya bizaɣa, ka o kɔŋ pa wura o. O ŋun gbini, ka ziim bee o ŋun guu, ka o nyɛ o zɔhi n‑yɛligu o daa biɛŋ — ka o nyɛ gbiŋ tuma ka o kuli dagbana. Din maa nyɛ Selorm, n bee o nyɛŋ nuti ŋmee. Yi sɔŋ yi kɔŋ yam mali maa, bala ziim kɛ n taa, n taa zani ma."
23,"N daa, yɛla kɔhim paai n'ban zɔŋ ka nyɛ Tamale kɔɣili yilinli. M pio Boateng, kaɣa gbini o o bɔri yili maŋ, ka ban kɔni o za ŋɔ, amma o tiŋ tɔɣi paai — o tiŋ lahi kpahim ka ziim bee o paai ti ban kpɛni. O bi bia, o zaa sim ayɛi mɔlɣu, ka o yiɣi ka o noŋ noŋ, ti mali zoli o yɛla. M yuli Hamza, maa yɛm diɣa yɛm, n daa sɔŋ maa ti kɔ ŋɔ nyaŋnyaŋ, bala tima ti nyɛ yɛla ti sa di o."
24,"N daa, ka yɛligu paɣiŋ daa naa ka ti bɛ Asokwa, Kumasi — nindaan o nyɛ Owusu, o kuli kɔbu din ka ti suɣiri o daa. O yiɣi bee o, ama ka yiɣigu ka gba gbibim, ka gbaŋ paɣiŋ. O ŋun ni o nyuŋ, o nyɛ ka o kum daa, ka ka nyɛ ka yɛla bee din ka gbaŋ doo o pam. M nyɛ Kwame, m nyɛ o yusili, ka ni maa di nuu n suɣi o kɔbu din pɔɣim, ama o ka bɔri yɛli-yɛli. N daa, ti bori sɔŋ ka yi yi zaa wa ka ti bɛ ŋa, ka sigiri, bala din nindaan ŋa o yɛla ka gbaŋ paɣiŋ."
25,"M yuli di Issah, m frɛ shɛli accident din kul kɔ ka o daa Suhum. Pɔyɔŋ kpɛma, Adwoa, o daa nyɛŋ zoli n diri ka trotro daa o chɛɣim ka o gbini. O yɛla ka daa yɛligu paɣim, ama o tiŋ yɛligu — o yɛli k'a yɛligu daa, ka saha biɛla bee o tiŋ bee. O tiŋ bee pam biɛla ka o tol laa pam biɛla, ama o bori la nindaan a wa maŋ o yɛla sɔlim."
26,"N daa, ka yɛligu kura daa ti diɣim ka di taa Techiman ka. N biɛla doo biɛla, Abenaa, kaɣa daa guri o gbɔŋ nyɛŋ gbɔŋ ka o gbini ka o kpɛŋ zaɣa — ka diŋ daa ti ka o tiŋ gbɔli mi, ka maa tiŋ polo daa polo waa dee ka o maa po tiŋ ku soli, ka ziim bee o zaɣa. Ramatu bɛ ka maa do ka ti bee yɛla o sɔŋ, ŋun di bia nyɛ ka o maa nyɛ ka o ti soli zaɣa. N daa, frɛ sɔŋ chɛ ka ti ti nyɛla yili — bia ni bori la nyɛla yili chɛ ka!"
27,"N daa, n puɣu-nindaan nyɛ yɛla be ka Adum, Kumasi. Kwabena gbini kɔŋ yɛlim bi — o kpɛŋ doŋ kɔnkɔŋ ti o ŋun gbaŋ zuɣu. O ti Nindaan daa, n'a daa ti bori la tɔɣim. O kpogisi tiŋ bee ka yɛligu, ti o kaa ŋmani o la ziɣim. N yuli Abenaa, m tɔɣim-pag yela o. Ka saha ka, o pam yɛla, naa gbɛya o yɛli ka o ŋun yɛligu ka yɛlitɔɣim. O ŋun yɛligu ka ka daa, naɣim o ka o kpaaɣim. Ti bori ŋun o zaŋ o dɔɣite sɔŋ ti, domin o kaa ti pam ni o bori zuu ku daa."
28,"M yuli di Ofori. M frɛ yi la ka m yɛl niŋ bɛ o kpiŋ la N1 highway zuɣu, Kasoa kpɛŋ. Kpɛma bi, o yuli di Yaw — o gbini nyɛŋ daŋ — m gbɛya o kpɛŋ doo zuɣu. O tiŋ yɛligu daa toɔ, nyɛ o nuu bee o kpiŋ. O tuma mi be, ŋun kaa n-nyɛ toɔ, ŋun kaa n-nyɛ toɔ, ŋun kaa n-nyɛ toɔ... O zee mi nag soli, ŋun kaa, amaa ka yɛligu bee o toɔ, ka o taa kpɛŋ o maa yɛla. O n be ka biɛla la ba, o kpɛma toɔ — o nindaan, ka tɔɣim daa pam lana."
29,"N daa, bɛ ninsim kuli bee ka bɛ maa Adidome kpeŋ, Ho-Accra nyɛŋ zuɣu. Nindaan baŋ, Wiredu — o ti maa sãa di doo — o gbiniri Volta yiɣirigu zuɣu, kaɣa viɛla biɛla yiɣirigu doli, ka o gbɛli pam yiɣirigu ku. Ti di o yiɣirigu ku pali baabu, amaa o pala yiɣirigu dali ka o kari o nyɛ pam. O bɛ nyɔŋ, amaa o nyɔŋ yɛligu hihi la, ka bi nii yi yiɣiri o sabi ka o jaɣiri. O digindi gbani niŋiri saa yɛla ka o ti pɔɣiri. N ti yɛligu la Dzifa. N daa, yi sɔŋ ti ka pam labi, bala o ti kpɛma ka ti nyɛ vuli ka tiri yaa."
30,"N ko Ibrahim accident kpɛŋ — o daa bi aboboyaa chɛ o saɣim nyɛŋ din dabɔ Mamprobi lan kɔbila. O gbini ka o tiŋ yɛligu, amaa o daa zaa nyɛ teŋ teŋ yɛlina, ka maa ŋmani o tiŋ ka yɛligu paɣi paɣi. N yɛligu la Abigail, ka maa ni o bi yili kɔŋ. Tɔndi n bɛ yɛ ni yɛla ti — o ni kpe nyɛla yili, baa maa ni kuli ni daa o yɛligu yili, bɔ o tiŋ daa chɛ n naɣini teŋ."
31,"N daa, fɔrɔ kpɛm paɣa bee ka Kumasi-Sunyani nyɛŋ ni, ka Techiman dorim pam. M ŋmani, Mawuli, o nyɛ accident puɣim — kaɣa gbini o kaɣa zuɣu ka o gbini dorim, ka o digindi ni o pam yɛligu o daa paɣa. Kpɛma nyim ka yɛligu bee o, ka o daa tuma o timɛ zuɣu gaa ni o nyɛri din. Mii yɛ Hadija, m bɛ ka o naŋ ka kum doo ni, ka ti bɛ wari o kpɛla nyɛla yili, amma ti bori sɔŋ do kpɛm, barka o nyɛla yɛli paɣa daa."
32,"N daa, ninsɔŋ la kpɛŋ ka yi kaya yili ka wula bi yɛ Dichemso. Biɛla dima nabihi sabi Owusu, kpɛma naa bɛ duɣu dindin tiŋa — bi diri o ŋun ni o gboo zaŋa. Mii nyɛ Amoah, n yɛ o shɛli, ka n ni yi yɛligu toobu n bɔri pini di nira, ka n nɔŋ o chɔɣu bugim tibili, o yɛ chaŋ yɛra diri ka o nyɛ n bɛ ziiri, ka o gboo yɛligu o daa biɛŋ biɛŋ. O ti soli yɛra amaa o bɛ yɛ maŋ, kpɛma naa bori sɔŋ daa."
33,"N dan Araba accident kɔŋ o nyɛŋ kɔŋ tɛ gbɛŋ zaŋ, Kumasi-Tamale nyɛŋ zuɣu, Ejura saɣim. Kaɣa yini di o kaɣa din o be puni, ka o ŋun kpɛŋ taɣi taɣi — o ŋɔɣim bee o paɣa paɣa. O nyɛ o yɛla ka o gbiri, ŋun o ti soli, ama o nyɛ o maa yɛla — o gori gbenni ka be. A yɛligu be o ŋun saɣim ni. N daa, yi maa sɔŋ, bɔlibu o gbini taɣi doɣimdim, ka ti bɛ ŋmani lee ŋa lee o ni o nyɛ o maa yɛla gbɛŋ ti zaŋ o kɔliŋ yɛla."
34,"Allo! N daa, sɔŋ maa! Nya mɛ siŋ Ekua o gbini dɔɣim ka o yɛligu ka naa Takoradi market ni. O nii sɔɣim ka o ŋun suŋŋi zuɣu, ka saa bi o nyɛ yuya biɛɣa — o ŋgbana nyɛ ka o la yɛligu daa. Ka saa bi o guri be, ka o nyɛ ka ziim bee o ŋun zuɣu — ka nyɛ yɛligu daa naa! N nyɛ Asare, n bɛ o wuhim ka nyɛm o pɛɛ. O guŋa bee o ka kanbali — ka o bi guri be o nuu be o tiŋ. N daa, frɛ ambulance ka zuu! Sɔŋ maa — zuu zuu! N daa!"
35,"N daa, n bɛ yɛ ni n wilim ŋun daa kɔŋ ka o bi maa gɛ Nima. N piɛm biɛla, Issah, di yiɣim o ni wo-biɛs doo bugim zaŋ o gbɔŋni di yɛŋ nyɛŋ kɔribu — bi gbini o, ka ziim bee o nuu daba, ka o nuu guŋ bilingi daa. Fuseini la n yuɣu, maa n frɛ nyɛ yi. Biɛla nan taa o ti soli wula, ka suni bee o ziini be, ŋun n nuu ka o boriɣa — nuu yɛligu daa o tooi. Ka yi maa sɔŋ n bɔri maa nyɛ, d'a yi gbɔŋ maa kaɣa ya hospital, kana naa, yi bɔri maa n diri la sumbu bee."
36,"N daa, accident kɔŋ Bawku nyɛŋ zuɣu, Zebilla kɔligu. Nindoli, o yɛligu Nii Kwei, tipper truck gbini o, ka o kpɛŋ nyɛŋ zuɣu ka n nɔŋ. O ti soli yɛlɔ, ama o tiŋ nyɛ ka a nyɛ — daɣili o tiŋ pali kana o tiŋ nyɛla daa tim, ti na bɔri daabi. Maa yɛligu Akosua. N bɛ nyɛŋ ni daa ni o kɔŋ n nyɛ shɛli ka niyɔɣu kota bee o pia. Ka o tiŋ yɛligu ka o zo ka daa yɛla o ti zoa ka daa kpahi. N daa, sɔŋ mi ma, o bori sɔŋ."
37,"Allo, N daa. Mɔɣu maa, zabilila maa yɛligu maa. Naŋ maa kuri Abena — OA taxi gbuni o ka Navrongo, ti yili saɣim. O ŋmɛ la biɛla, o pɛla ka bɔri yini ani ayɔbu suɣra. Kaɣa din gbuni o tiŋ ni, ama o ti mali kuli — o ti soli yɛla daa, o bɛla daa. Ka o tiŋ yɛligu o daa tooi, ka tigiri gbɛŋ bee diɣu din ni. Maa din bɔri la Araba — maa din frɛ ŋ. N daa, m bori la ni yi naan ni ti nyɛ o la ka ti gbichi o bee ka ti di naawuni?"
38,"N daa, m yɔri Ofori, ka m bɔri kuli yɛlgu bi ka naɣila Savelugu saɣim, Tamale-Yendi nyɛŋ zuɣu. Nindaan bi, o yɔri Naa Dedei — o kpɛma paali — ka o naa gbima tim tim nyɛŋ daana, ka o gbim nyɛ o zuɣu. M mi naa, o daa naa kaɣa biɛla zuɣu ka bɔɣu wum daa gbini o zuɣu. O bɛri yɛligu digindi ni o gbali saɣim, ama o nyɛ o ti soli la — o bee kuli naa. O daɣili zaɣa ama o kaa tɔɣi yuya naa. M be o ni yana ka m bori maa sɔŋ. N bɛ yɛ ni, frɛ ambulance ka yi kɔ Nyɛla yili daali."
39,"Allo, N daa. M poga Afia, o accident baŋ o Suame, Kumasi doo, ti yili kɔliŋ doo. O be ti ni, kaɣa di o bɔ, ama Naawuni ni, o ti soli. O pam ni o digindi yɛligu daa o yɛsim, n gbani o di o yɛsim doo. Ama o gbaŋ yɛligu o wuɣibu ni o kuli bee. N yi Agyeman, n be o kɔliŋ ti yili. N daa, ti bori n nyɛ tuma bin ti ban di ti mali ni bimba ka o."
40,"Allo, m yuli di Afia. M frɛ ka accident bi la Tamale-Yendi nyɛŋ din, ka bɛ zoli Savelugu. Diyana yini din bɛ n'yuli Appiah, o bi la trotro mu din kaɣa tia din yɛbga dii o. Ka o gbɛra kɔŋ. O ŋun bɛ kpɛbihi diri, ka o ʒugu yɛligu daa o, ama o nyɛ wuligu ka o guri yɛla, ka o bɛ ti doli yɛligu daa. Ti zɔri nyɛŋ dobirim din, ka ti bori la diyana yini ni bi wa o lɛbgi o zɔŋ."
41,"N daa, n dɔŋ Yaw o gbini accident la nyɛŋ Accra-Kumasi highway zuɣu, ka bee Nsawam saɣim. Maa yɛligu n din Baffour, o tua paɣa. Ninduu biɛla frɛ ma n yɛli ma o ni kaɣa yini tɔɣi o zuɣu ka o be nyɛŋ kuɣibu. O nyɛ kpɛŋɣu biɛla, bee o di yaara pia ka naŋsim yini wala ayi. Ka o yɛli ma, o digindi ka o ŋmahu yɛligu ka yɛligu saha. Ka o ti pɛlim n kpaŋ n nyu n nyu, amma o solim n be yɛla ka o guri yɛla. N daa, n bɛ yɛ ni — sɔŋ maa o ni, ka yi frɛ ambulance wala kaɣa o doo nyɛla yili ka laɣim."
42,"N daa, n bɛ yɛ ni m yɛl' ka bɛ yɛl'bu be ni kuli bɛ maa saa din kpɛ Savelugu. N dobihi Fuseini — o ti kpɛma — o be n yi baŋ kɔɣibu wɔribu ni, kɔliŋ ninsala yumbalima ŋmali o ni be n bori o pɛli. Bɛ suri o gbini ni bɛ dɛɣim o nuu din o gbini n gba bɔri ni, hali bɔ o nuu nyɛ yɔɣim daa ni o da wuhi la o nuu. Ka yɛligu o kuri, ama o ti soli ŋun ni o be n yɛla. Mi tuma Abubakar, ninsaɣibu frɛ maa din yɛl'bu kpɛŋ. N daa, ka ninsaɣibu yi maa sɔŋ o, bɔ o ti kpɛma daa."
43,"N daa, m bɛ yɛ ni m paɣa accident bin naɣa Cape Coast-Elmina nyɛŋ zuɣu. Saɣim bia bi yɛlibu Darkwa, aboboyaa dii o ni o nya o nyɛŋ ku buɣim, ka o gbini. Mali Edem, n gbini o kɔŋ n nyɛŋ ka o naɣa. O zua kɔligu ka o bɛ yɛla, amma o tiŋ yɛligu o kɔligu, ka tirim bee o tiŋ zuɣu. Ti bori la o zaa ni ba wa naa tɔ o, barka ka ti nyɛ o maa yɛla n gbɛ ka o mali yɔɣiri."
44,"N daa, yɛla tiim paɣa kɔ tuma ka bee yi Dansoman ka. M paɣ' kpɛma Efua, o gbini wuntɔ kɔ, ka o yɛla bee ka daa — o tiŋ kpiŋ yini kɔŋ ka a nyɛ' ka o tiŋ yi yɛla n-zoŋ daa, ka o daɣi tini o tiŋ bi. O bɛ diri gbini ka o ka kpɛŋ tiim. Ka m yuli Naa, m nye o tintɔŋ biɛla, ka yi bɛ lali daa — bɔr Efua kpɛma, ka o ziim boo o ka o nyɔŋ yɛligu daa ka o biɛm. N daa, yi sɔŋ yi ka nyu gbɛli yɛ — yi bori sɔŋ ya yi ka n bi wuhi."
