id,roundtrip_en
68,"Please, I would like to look at some of the incidences that happened to an elderly man at Yendi here. My younger brother, Asare, is a very elderly man—a man who came to say it at his home, they responded very well and it is the same as this. My name is Owusu, I am also living with him, and if I received the voice that I wanted to know what has happened, he does not die, but his hands are very hurt and he can not be taken up. We need someone to help us, or not let us say things that are going to happen."
69,"My name is Dela. I'm going to call for a list of incidences which occurred here in Cape Coast. A man named Kpodo—like him in his twenty and twenty-two years old age—was he shot him in this way a little earlier. His feet are very strict, and he said it is very painful— but he is lying there, but he is lying down on the road, and someone is around. I'm pleading with you, I need help if we see what we don't do today, or if he should not go to the hospital."
71,"I plead with you, I want to say some of the killers that happened here in Nanfye. My name is Manta, and my name is about Asare— There is a dirty umbrella that was just this way. It is not that, but that's a little bit of pain in it. It's my pain and it's good that's there. We think it's just that it's just that you— but we want a doctor to take good care of it and see the reality."
73,"I plead with you, I want to be part of what has happened—from one of the children in Mankesim, on the way. My name is Vada, and the child's name is Abubakar—it is between 15 or 16 years. It fell on some of the water on the road—I said that it is a draw line or something like that— and he went down a little way to get some of the water before a person with it flowed out. It is now very sweet, but his hands are swollen, but it is going to be filled with pain, and it is as if something is going wrong. We want someone to come to kill it, because it is just like a little bit."
74,"I plead with you, something has happened to the Takoradi Coast Highway, Anomabo. A widow called Selorm—I heard that she had 13 years old age. She fell down very well, and she is bleeding from the road, but she is breathing and reading. I was also on the road with Akosua— and I was also on the way to meet some people. We need help— come early, because the child needs a doctor."
75,"My name is Mame, and I am calling on me to be one of the most difficult things that happened to an elderly man on the road to Tamale. His name is Wiredu, and some people hit him on the head and on the back. He is elderly, and he is also able to walk, he is also lying on the floor, and bleeding from his head. I thank you very much, what is the emergency before a terrible thing comes to him."
77,"My son kofi enrolled in the Takoradi Coast Highway, anywhere near Anomabo. His mother's name was Elinam. He was knocked down by a car on the way—he is a child, his age is about eighteen—and he fell down and lie down next to him, nowhere near his blue and stomach. There is a very hard place—he is sitting and walk, but it is a little pain, so I am brought up with the news. We are still where the story is."
78,"I'm sorry, something has happened here at Techiman and I need help. My name is Efua, and I'm talking about my brother Yaw—he fell down on the floor in the house and opened his head very well. He was"
81,"Mahama. My daughter, a girl hit her today on the Hohoe-Jasikan road. The stone hit her, and she fell, and it was good to see the pain— It was raining, but she caught it, but she was able to hold a small finger. I'm Boateng, I'm your father. We need a man to look at it, because even though it is still there, but I don't want to bring a child to sleep—I't help!"
82,"Please, I would like to say something which happened here in the Wa Central. My neighbour, Amoa, a pregnant woman came to him in a very quick manner. The child is young, maybe in the 18th century or 19th century, and his feet are very painful in the fight—the leg has become very soft and it can stand very well. His or her feet are very loose, but it hurts and we are very scared. My name is Fatisa, and we need someone who will help us or show us what we should not do."
84,"Please, I'm pleading with you, I'm talking about some of the things that happened on the Accra-Cappe Coast road, by Winneba. My sister Akua was in a motorcycle where a new car fell, and she was hurt at her feet—the pain and not yet control. It is a great girl, ninety nine years old, and now some people on the road are coming to her aid. My name is Nii and I'm going to see her now, but I want to call earlier and someone to see her."
86,"My grandmother, Gifty, was knocked by a speeding car near our house. It was a very old man, and the car knocked him hard - I had a lot of blood moving. My name is Kwabena, I'm a nurse. I'm"
89,"I'm sorry, something has happened on the Tamale-Bolgatanga road, Wales. A boy, Agyemang, a man too, was knocked by him. I'm very broke up on his shoulders. I'm Amankwah-I saw this, so I said I was going to help him. He saw and said a little bit, but his back, but they saw that he was very hurt. We need a man here, or they don't know where we would bring him here early."
90,"I'm sorry, something terrible has happened to this child near here. My name is Afia, and my name is about a child—the name is Adjei. It's called a washing machine, and it's amputating very well, and it's bleeding. We also have the Axim Radio, near Half Assini. The child is very painful, and we're very happy—I'm pleading with you, don't don't help now, because her hand is very dangerous."
91,"My son Agyemang is working at a place of employment here in Tumu, and a weight fell on him, and he fell on his stomach. He is young, 13 years old and painful, but he is still speaking regularly. His mother, mother, and the people who work with him called me when it happened. He is saying that his blue is very painful when he is taking a break, but without any pain, I will always need anyone to help us, because we don't know if anything opens up to him or never."
92,"Please, I would like to say something that has hurt my younger brother. His name is Kwame, and at the age of 50 he is working at a construction site on the Accra-Cape Coast road, he went to Winneba, and there was a pickpocket on his finger. He said that it is a little bit of pain, but it can't help him, so we can learn that it is a big problem. My name is Ofori, and I want to know if he needs to go to the Clinic, or we can wait at home."
93,"I plead with you, I want to say something like it is here in Tumu. I'm new Nii's where he fell on the floor. It was empty, he understood it and was talking, but he said he was hurt about his neck. My name is Ibrahim, I'm just a stranger, and I came to see him when I heard the news. We don't think it was great, but we want someone to pick us up and tell us what we'll do next."
94,"My name is Sulemana. I'm calling you about my husband—an elderly man called Baffuor. He went to the chairman at Asokwa, not a little way off from our house. And when he was brought home, he hold his blue hand on his left hand. It's not quite normal—he's bleeding or nothing like that— but it's painful about his stomach. It is an adult, therefore, we want to make sure that he is well."
95,"My name is Akua, I'm calling it because there is a problem around a other child. It's called Afia, she has five or six years ago, and she has gone to bed with her haircuts. We're also in Bolgatanga-Bawku way, the meat is very small, it's very painful, but it's still there is still going to be speaking. I'll need someone's help immediately."
96,"Mahaa. I plead with you, I want to say something that happened on the road to Tamale-Yendi, the Savango. My name is Ibrahim, and I'm going in the roads and I see a child, Agyemang, who also fell down from his school on the road. His feet are a little pain, but it's also—he's just a distance—on the street that can destroy it. There is someone who is now, but I just want to be in need of someone to take care of it."
98,"I plead with you, something very difficult happened here, and I need help immediately. My name is Memmatu, and I'm talking about one child— It's called Nii Kwei. He fell in the waterway near Kette Krachi. He went down in the water, and when we got out of it, he didn't take it for granted. His throat filled us with fear—which seemed to be so small, and it is very difficult now—we are very scared."
99,"Please, I would like to be some of the few things that happened to a man at Oforikrom here. My name is Kwame, and the family name is Appiah—he is just a child, he is far away. He is working at a nearby office, and something fell on his head, and he fell down. He didn't see anything but, but his throat is very hurt—so we are very afraid. We are looking for someone who will help us, because the illness doesn't even look at all."
100,"I'm sorry, something dark has happened and I need help early. My name is Nii Laryea, and I'm called for a body called Adjei. It is now working on the road around Takoradi-Cap Coast Highway, Anomabo. It is also working on a project and a section of a black man fell on his legs— It is very bad, his legs are very hard and his blood is bleeding. We will discuss what we are trying to stop bleeding, but it is very painful and scared of him. I'm not going to come back to the road too late."
102,"I'm sorry, something came up that later came up to Bawku Road, Zebilla. A young lady, Araba, a teaper milk hit her while she was on the way. She fell down, but she was breathing heavily, but she was speaking, and she said that her breasts are hurt. I'm a stranger who lost what happened. We need someone to check it, because she is a child we don't want any news to come up with. A doctor!"
104,"Please, I'd like to be among some of the refugees that happened here at Yendi Senior High School. My name is Issah, and one of our girls, dollars, was forced into the school dropout, as she is still standing in this morning. She is a little girl, and I'm now a pain, but she is completely recovered. We've sat down, and someone is standing behind her now."
105,"I plead with you, my name is Appiah, I'm called from Winneba Senior High School. One of our daughters, Naa Ddei, fell on the floor of the latrine on the Dormity rag, and fell down, and hit the head on the tip of the tree. It is still there, but it is on the back of his hand that he says it is a little pain. It's not quite hard, but we want to see it all is empty."
106,"""I am pleading with you, I am calling you for something very good that has happened here at the Ho Senior High School. My name is Yakubu, I am one teacher in the school. Our school driver, Elinam—who is the headteacher—he is going across the bridge near the house, and the school bus is very late for him to hit him. He fell very hard, and his neck is very swollen. He is breathing, but if we call him well, we are very much require blood to come out of him."
107,"I'm pleading with you, I'm going to mention about a small lady—the last time she was going to pass through the road, I'm called Amoa. My name is Amoa, and Yaa is one of our menarche in the first year. She is going to pass through the road and she is knocked down on her head—she fell and broke her head"
108,"I plead with you, I want to continue to say some of the bad things that have happened here at Cape Coast University—a man called Sulemana, he fell into the galamming pool on the other day. He went into his field with some of his people, but he went into and got a little earlier before he was released from it. Kweku and he took him back to the pool, so he called me to tell you that I am still married as a present man, but he says that he is very attractive, some of the ground being taken out of the net. It is not as if he is very ambitious, but we think he is very ambitious."
110,"Please, I am pleading with you about my brother Nii Armah— something that happened today is at the bottom of the T.I. Ambass at Kumasi. There is a pactic lab and a green boreer on his hand. It is not a good piece of meat—on the bottom of his finger, his books are red, and he is saying that it is his pain. My name is Selorm, I am his labmate—I want to know what we are going to do now before we take him to Clinic."
111,"I'm pleading with you, I'm calling you from Kumasi Ackey. My name is Wiredu. Something came out in time for the two of us people in a taxi park, and the two of them met on the way to run from their body, and Afia fell down and broke her finger very well. It is clear, but her hand is ready, but when she is going to stand in the wrong way, it is painful. We don't think that some doctors will come to check up on her."
112,"I plead with you, my name is Asamoah, I'm from Adisadel College ha Cape Coast. Alhassan is coming back from the town at a golfing taxi, and there is a taxi around the school kente—he fell down, but he is also very attractive, he is now able to hold his legs. So we don't think there is any piece of milk or something like that. We need to take a closer look at it, because it changes so well."
114,"My name is Naa. Am calling me from Tamale Techl University. My friend Abenaa—who is disabled here—he is going to visit a car park near the factory, and a 2016 bus came up to save him while he was lying down. He fell down, and his head fell. A small piece of paper on his head, and his chest was painful, but his throat is life—he is talking. We want to know if we should take him to the hospital and not take good care of him."
115,"""I plead with you, I'm pleading with you, I'm going to explain what happened here at the Senior High School. My name is Abenaa, I'm a teacher. Our teacher is waiting for the projector, and we were knocked by one of our Pee teacher, Fuseini, waiting for him to go. He did not see it. He is— but he is now hurt, but we want someone to look at him, because he doesn't mean the pain doesn't go away."""
116,"My name is Kwabena, I am a professor at Opoku Ware School in Kumasi. Today afternoon, we have a gentleman's scholarship, and a boy in my Gal—Bappuor—he added himself to some of the hot pits that have been removed from the latrine, and firefied into his stomach. It is not quite great—the issue is a little sin, and his spirit is very great, but he is weeping and we are all weeping. The teacher is as if I am going to wash well."
118,"My name is Asormeh, I'm calling you about my friend Naa Akorkor, you have seen a gentleman here at Bolgatanga Senior High School. He is also avoiding the downtrodden and fell down, and fell down hard on his back. He is"
121,"I'm sorry, something has happened here in our Dormery here at Wesley Gyls and I want to mention it. My name is Dafo, I'll have the only hall in us. Our two mothers met—from a man from Mfantsidium with only two of them, and it was also physically in Doridorium. The new Amana responded to Efua on the head with a waterbottle and fell to the door. He saw it, but his chest was very hard and said that he was suffering with the pain of the new man, but Efua has completely been treated with it."
122,"I plead with you, something very great has happened here at Prempeh College ha Kumasi—my name is Asante, it is great. My beloved Kojo is trying to climb the later point in the night to go for a walk, and she fell beautiful and just covered up with her feet—no. The leg is just covered with tears and can't carry it any more. We are also afraid to take it out because her legs are very dirty. I'm not sure of it."
123,"Please, I'd like to say some of the things that happened here at the University of Ghana, Legon. My name is Nii Armah, I'm amener. Senior girls are going to release Ibrahim—a doctor, and it was very hard. They are also talking about her regularly, and then she fell silent and could not stand it, and it should hurt when she wants to rest. I just said it, but the child needs to see it, but some doctors don't have it."
124,"""I plead with you, my summer Serwa Koapase is here in our room at the Ashesi University. He fell down and addressed his right head at the bank when he fell down - before he woke up, but his head was not well-carried. He is going to work on his testems—it and it is not breathing well for two years. I said that it caused it. His head is bleeding a little. My name is Nyira, I am going to see him (mean, I will take care of him)."""
