id,narrative_ga
26,"Ofainɛ, something very serious abɔ Techiman ha. Neighbor mi dzɛŋ, Abenaa, kaa bumo ŋ wɔ kpee gbɔɔ afternoon ha — kaa ni bumo ŋ mli, obumo wɔ yɛ mli tumɔ. Gboo ŋ, mi suɔmɔ fracture gbɔ, shiaŋ ni otsoo bent way ŋ se bi sɔɔ, okɛ ɔmɔ gbeka gbeka hɛ, nɔɔ shwe etsotso pii pii. Ramatu le ha kɛ mi, yɛ nyɛ mli boa ŋ, kɛ dɛbi ha eshii ko enimɔ gbɛ shɛ. Ofainɛ, frɛ ambulance mli blɛ kɛ speed — oblɛ ha ehia hospital sɔɔ, chale, now now!"
27,"Ofainɛ, something happen ni mɛ ni father-in-law shi Adum, Kumasi. Kwabena bumo sɔɔ — obu slip near doorstep ni obɔ ŋmɛi oshie fɛɛ ground. Ogbɔmɔ nɛ, so yɛ worry pɛpɛɛpɛ, ni ŋmɛi gbiŋ ehii nɛ too — okaŋ turn ni ŋmɛi gbiŋ yɛ blɛ o. Abenaa ni mɛ, mɛ daughter-in-law nɛ, ni saa sɔɔ oni le, kɛ o confuse small ni o complain serious headache. Yɛ hia person aba check nɛ, because okaŋ sɔɔ ŋ gbɛ oshie nɛ o."
28,"Mii dzɛŋ Ofori, mifre lɛ shi N1 highway, Kasoa kɛŋ. Gbɔmɔ kɛ, Yaw — obumo kpee ŋmɛŋmɛ — mitsɔɔ ne oshishi kpee ŋmɛi. Ogboo ehii nɛ wu, ogbɔ fɛɛ ehii ne — mitsɔɔ. Oni le small, onyɛŋ mli le, nɛ otsɔ yɛ obua ogboo ko. Gbɔmɔ ŋ otsɔ ko, chale — eniɛ shwɛ ni kɛmi na."
29,"Ofainɛ, bɔɔ kɛ serious ni shikpon yɛ ha Adidome fɛɛ, Ho-Accra road ni loo. Gbɔmɔ ŋɛŋ, Wiredu — ɔyɛ mi naaŋ naa — ɔyɛ crossing Volta wɔ canoe ni loo, naanɔ canoe etiaŋ. Yɛ habu amo ni yɛ wɔ shwe ŋ lɛ, kɛ ɔyɛ under water too long. Ɔhɔmɔ le kɛ hɔmɔ ɔyɛ very weak — naanɔ yɛ frɛ ni kɛ yɛ frɛ no ŋɛŋ, ɔnimɔ loo. Ni gbɔɔ ɔyɛ wɔ — ɛyɛ swollen, enimɔ straight. Miŋ yɛ Dzifa. Ofainɛ, boa mi — yɛ hia help mi ha fast fast, kakra, bɔɔ kɛ ɔyɛ gbɔmɔ kɛ yɛ hu shɛ bi. Frɛ ambulance — chale, please!"
30,"Hɛloo, ofainɛ boa mi. Ade mi naaŋ Ibrahim obumo accident — ɔwɔ aboboyaa mu, aboboyaa no tuiŋ ehia ŋ afɛ ŋ gbɔɔ Mamprobi ni, awurɔ yi. Obumo ehumo, ni gboo hii ŋ — kɛ ɔyɛ akɛ ɔtoo tee tee, enyɛ serious pɛɛ, mitsɔ ni. Mi nyɛ Abigail, mibɔ shi ŋ kɛɛ. Yɛŋmɛi shia nyɛ: ɔnyɛ ni he hospital bii, abi yɛdzɛ manage ni aboɔ yi? Gboo no bɔ swollen kakra."
31,"Ofainɛ, chale, something very serious abɔ Kumasi-Sunyani road no so, Techiman side fɛɛ. Me gbɔmɔ, Mawuli, accident abɔ no — kaa ebii kaa wɔ eyi ŋ tɔɔ, naanɔ ɛ gbɔɔ kɛ shi ehii no wɔ waa. Gbɔmɔ no ni hii waa waa, ɛ tumi gbɔmɔ le ŋmɛi sɛ o. Me nyɛ Hadija, mɛ le fɛɛ ŋ tee kɛ nɔ nii, yɛ hee yɛ ba no hospital, kɛ yɛ hii bo fast, chale, because ɛ condition no serious waa."
32,"Ofainɛ, something bad bi happen ni yɛ compound hɛɛ Dichemso. Boys tɛɛ bi attack Owusu, gbɔmɔ bi shi dze near entrance — wɔ hyɛ no ni ŋmɛi kɛ neck area. Mɛ yɛ Amoah, mɛ yɛ ni neighbor, kɛ wɔ temi noise no mɛ tei gbogbo outside mɛ hɛ no sit dze fɛɛ ground, onyemi le kɛ confuse, kɛ ni neck ehii no bebɛ. Enimɔ gbɛ o, nɔŋ eni fine o chale — gbɔmɔ no lɛ shikpɔŋ boa. Boa mi!"
33,"Chale, Araba, mi ŋmaa, accident bumo eni le afiɔ dzeng — Kumasi-Tamale kpee dzi, Ejura fa. Kaa bi bumo kaa bi nɔŋ ebi shiŋ, ebumo ŋmɛi gbɛɛ — ni hii ŋmɛi kɛ ni hii nyɛ shi gbɛɛ nɔŋ. Oni le kɛ oha okwɛɛ, shikpon onim le haŋ haŋ, kɛ ŋmɛi fa swelling le dɔ. Ofainɛ, yɛ hia bo — yɛ nyɛ shɔ ni safe nɔɔ okwɛɛ eŋmɛ le ami."
34,"Hɛloo — Ofainɛ, boa mi! Nua nyɛ Ekua obumo wɔ Takoradi market ni, ofainɛ frɛ someone shi jɛ bi. Ofa kpee shi obumo, ŋmɛi obui ground — nɔ enimɔ gbɛ, enyemi le oo. Nɛ ŋɛ, onyɔŋ ni nɔ ehii — ni look very wrong chale. Me yɛ Asare, mɛ kɛ ɔ wɔ shia. Ɔhɔmɔ dɛ, nɔ ŋɛ ɔtɔ lɛ o — onyemi le. Shwe etsotso ŋmɛi ni — chale, ni serious. Ofainɛ — ambulance frɛ, shi jɛ fast fast!"
35,"Ofainɛ, mifɛ report bii shi ŋ dzɛ Nima. Mi mli blɛ bie dɛbi, Issah — boys bi tumi nɔ ni ehii ni kpee dzẽ yɛlɛ — wɔ bɔɔ ni nɔɔ, shikpon ni gbɔ bi ŋ kɔ gbeke, nɔ ni swollen le sane. Fuseini name bi, miye nii frɛ ŋ. Dɛbi yɛ enimɔ gbɛ o, kɛ wound bi yɛ serious, ni gbɔ hii ni lɛ paaa. Mifɛ shi bo — mitsɔ ni hospital, abi hɛɛ mishi bii?"
36,"Ofainɛ, something happen for Bawku road, near Zebilla. Ŋun baaba biɛ, Nii Kwei, tipper truck bu no, ebumo koko for kpee no. Enimɔ gbɛ biɛ o — oni le, onyemi le — but gboo no eni shiaŋ kɔkɔɔ — maybe fracture, abi ehii no wɔɔ, mitsɔ shɛkɛ o. Me na Akosua — me wɔ hɛ nɔ ehi no happen, na nii gbɛɛ bɔ ehe no shɔ. Boa no atswa obaa, ofainɛ — onyemi gbɛ eŋmɛ faa le o."
37,"Hɛloo, ofainɛ boa mi — naanɔ mi Abena, OA taxi bumo no just outside yɛ family house shi le Navrongo. Oblɛ bi le, maybe around sixteen years. Kaa no bumo no gboo — gboo no hii no kakra, nɔ cut bi le ŋ — but enyemi le, enimɔ gbɛ o, onyemi le paa. Mi yɛ Araba, mii frɛ. Ofainɛ, yɛ pɛ sɛ yɛ nyɛ what we should do for no now."
38,"Hɛloo, ofainɛ — mitsɔŋ Ofori, ni mifɛ report bɔɔ shi Savelugu kɛ, Tamale-Yendi kpee yi. Gbɔmɔ yɛ le shi, onitsɔŋ Naa Dedei — oni gbɔmɔ pɛpɛɛpɛ. Otsɔ farm work oshɛ kpee kɔ, ni bɔɔ yɛ bumo ŋ — mitsui cart bi ni otsɔ load oshɛ, ni bɔɔ kɛ ebumo ŋ. Ehii ŋ gbɔɔ kɛ okusum yi, shikpon mli — ni hii ŋ pɛɛ. Kɛɛ, oni le dɛɛ, ogbɛi le wɔ ni okasa le — eŋɛ ewie biaa, kɛɛ boa ni shi. Mihe ŋ kɔŋ sɔŋ yaɔ, kɛɛ oni tse ji shiɛŋŋ."
39,"Hɛloo, boa mi — naaŋ Afia obu accident kɛ kaa, ni fɛɛ yɛ shia kɛɛ, Suame, Kumasi. Ebi kɔ yaŋ ni kaa taa ni, kɛ shukuu Nyɔŋmɔ, ni eni ko serious wɔ. Kɛ ehii ni shi kɛ gbɔɔ, naŋ ekɛ taa ni wɔ gbei, kɛ oni le kɛ edaa. Miŋ Agyeman, mi le nɛɛ bii ko kɛ yaŋ shia. Ofainɛ — shi naa mɛ yɛ ni hɛ bɔɔ?"
40,"Mɛ din de Afia, mɛfrɛ shɛ accident bi nyɛ Tamale-Yendi road ŋ dɔŋ, Savelugu kɛ. Oba bi wɔ Appiah din, otseo trotro bi ŋ dɔŋ — articulated truck bi bɔ trotro ŋ, nɔ ebumo faaa outside. Wɔ ni lɛ nɔ shwe etsotso ŋ bi ni oŋmɛi ŋ, shi ni gbɔɔ — eŋmɛi ehii mli, kɛ ŋ dɔŋ naa ni neck ŋ ehii ŋ — shikpɔŋ ni enimɔ le, eshii le, oshishi le, chale, enɔ gbi lɛ kome loo. Yɛhɛɛ kpee ŋ dɔŋ naa hɛla yɛ, mɛshwɛ oba kɛ doctor bi aba lɛ check ɔ kɛɛ."
41,"Hɛloo, ofainɛ, boa mi — accident abɔ me nua Yaw wɔ Accra-Kumasi highway mli, somewhere around Nsawam. Miinɛ Baffour, oni nua panɔ, eye ŋ obiara frɛ mi kɛ kaa bumo ŋ wɔ ni wↄ kɔ agbaa kpee wↄ. Ŋ yɛ oblɛ bi, approximately nineteen or twenty years. Wↄ kɛɛ mi kɛ ŋ gbɔɔ hii ŋ kɛkɛ, kɛ ŋ side naa hii ŋ, eye ŋ tii gbã straight o — ŋ titi straight o. Kɛ ŋ oni le, ŋ kasa bi le. Ofainɛ, yɛ hia help ni yɛ kɔ ŋ hospital fɛfɛɛfɛ — chale, frɛ ambulance, boa mi!"
42,"Ofainɛ, metsɔ bɔ report kɛ shi wɔ Savelugu gbɔŋ, yɛhii. Ni manɔ, Fuseini — gbɔmɔ ni oshwɛ — ɔyɛ nɔ market tɛɛ fee, kɛ nnɔ gbɛi akɛ ɔtsrɛ, ŋmɛi ni oo sane ɔsane ɔkɛ ɔhɛ ni ogbɛ oshwɛ. Ebumo, kɛ ebuu ŋ ni gbɔ tete ni ɔlɛ resist, kɛ yiɛ gbɔ omo swollen — ɔmiti kpoo shia o. Ehii mi gbɔ ŋ, nikɛ oni le, ɔkasa kasa. Me ni Abubakar — obi frɛ mi tete kɛ accident ŋ etso. Ofainɛ, obi ni ebɔ, shi kɛ boa ŋ — gbɔmɔ ni oshwɛ, chale."
43,"Ofainɛ, mebii report accident bi wo Cape Coast-Elmina kpee dzɛ. Onukpa dɛbi bi wɔ frɛ Darkwa, aboboyaa bi ko ɔ wɔ ɔ kpee kɔ, ebumo fɛɛ. Miŋ nyɛ Edem — mɛhɛ ni shikpon wɔ baako wɔ ni ehii. Ɔni le kɛ ɔkɛ yɛ nii nɔŋ, kɛ gboo bi hii ɔ kakra, kɛ cut bi wɔ fɛɛ ni. Yɛhia onukpa bi wo bi na ɔbɛ check ɔ, bii yɛnɔŋ fracture bi wɔ fɛɛ abi daabi."
44,"Ofainɛ, situation kɛ serious bi tsɔɔ wɔ Dansoman ha. Naa mi nyɛ — mi maŋtsɛ Efua, ebumo wɔ nɛɛ gbɔɔ, naanɔ condition nyɛ bɔɔ hewalɛ — ŋ gboo bi kee fɔɔ ni eko naanɔ shi wiemɔ, ehii ŋ lɛ. Oshiŋ hii ni eba wɔ porch steps lɛ shi, nɔ eshi lɛɛ eko kɛ force. Mi nyɛ Naa, ŋ maŋtsɛ oblɛ, mɛni lɛ tsɔɔ shi agbe lɛ kɛ hɔ — gbɔmɔ nyɛ nɔ, shɛ ehi kpɛkpɛ. Ofainɛ, mɛhii boa — baa faafoɔ, chale, baa wiemɔ."
