id,narrative_twi
10,"Me din de Asare. Mefrɛ mo ɛfiri sɛ biribi asi Elinam, ɔba bi ho. Ɔredi jollof ase wo ne flat no mu ha Adenta — pressure a ɛwɔ potɔ no mu no maa n'ano hyɛɛ so kɛse ara ma steam na nsuo hyew fii mu kɔhyeɛ ne nsa ano ho. Ne nguan no aboa so na mmɔboase bi da refi adi, na ɛyɛ no yaw pa ara. Ɔhunu ne ho na ɔrekan, nanso hyew no ho yɛ hu, na ɔsesa sɛ ɛyɛ no yaw paa ara. Yɛpɛ sɛ mukyerɛ yɛn deɛ yɛbɛyɛ ama no seisei ara."
11,"Agoo, me pawoɔ kyɛw, tie me. Me ba Kojo wabubu no ɛnnɛ wɔ kɔ bɔ mmoa wɔ carpenter dua dwumadi mu ha wɔ Assin Fosu. Dua bi atua agu ne nsam so na ɛtaa no kakra, enti mogya rei firi hɔ kakra, nanso ne nsa resakyerɛ yie ara pɛ. Me din de Kwasi, mene ne agya. Yɛahorow no yie na yɛakyekyere ntama ho, nanso metɔɔ so pɛ sɛ mebɛbɔ amaneɛ ɛfiri sɛ ɔyɛ abofra ketewa ara, na menhunu bronoɔ sɛ ɛsɛ sɛ yɛde no kɔ ɔyaresabea anaa dea."
12,"Me pawoɔ kyɛw, ɛyɛ asɛm a ɛyɛ hu paa a abu wɔ Cape Coast-Elmina ɔkwan so no. Abofra bɛrɛ kakra bi, Appiah, kar bɔɔ no, na ne sɛ ɔwɔ mpaem paa. Ne nan — m'adwene sɛ ɛyɛ ne nan anaa ne nsa — wɔabubu no yiye, sɛ ne dompe atwa, na mogya retu fro paa. Me din de Maame, na merekɔ na mhuu no da ɔkwan nkyɛn no, na nnipa ahyia hɔ nanso obiara nnim deɛ ɔbɛyɛ. Me pawoɔ kyɛw, soma mmoa mmra ntɛm, abofra no hia mmoa seesei ara!"
13,"Me pawoɔ kyɛw, mepɛ sɛ meka biribi a ɛsii ha wɔ Dambai. Me yɔnko ba, Fatima, OA taxi bi bɔɔ no wɔ ɔkwan so — accident ketewa bi na ɛsii, nanso abofra no abubu. Me din de Edem, mene ɔno a mefrɛ no. Ne nan so wɔ mmɔborɔ bi ne ahohoro bi, nanso ɔnan ko tiaa tiaa, enti yɛntaa sɛ ɛyɛ den pa ara. Yɛpɛ sɛ wɔhwɛ no yiye pɛpɛɛpɛ."
14,"Me din de Mawuli. Merefrɛ sɛ meba nhyiamu fa abofra bea bi ho — ɔbaa ketewa bi, Sena, wɔabubu no bere a ɔreye adwuma. Ɔreye afuo adwuma wɔ ɔkwan ho wɔ Kumasi-Sunyani kwan so, beae a ɛbɛn Techiman, na ade duru bi atow agu ne badwam so — me susu sɛ ɛyɛ ne nsa ase no. Ne nsa no ahunu, na ɔntumi nyi no yiye, nanso ɔhunu ne ho na ɔreka. Ɛnyɛ asɛm kɛse saa, nanso ɛyɛ no yaw na ɔhia sɛ ɔhwɛ adwuma wɔ ho ntɛm ara. Me pawoɔ kyɛw, obiara mmra mmoa no."
15,"Yɛfrɛ me Kofi, mɛfrɛ sɛ merebu mu ho amanneɛ fa me nuabarima Asare ho, na ɔwɔ yɛn fie ha Cape Coast. Mmarimanom bi baa ha, na wɔhyɛɛ no akokoɔ, na wɔn mu baako buaa no tiri so. Wɔabubu no kakra wɔ ne tiri so, na ne kɔn nso yɛ no yaw kakra, nanso ɔhunu ne ho na ɔrekasa. Ɛnyɛ hu papa, nanso mepɛɛ sɛ mehunu sɛ obi nim ho."
16,"Me pawoɔ kyɛw, merefrɛ mo sɛ merekan biribi a ɛsii opanyin bi — Kwabena — ho, wɔ Cape Coast ne Elmina ɔkwan no so. Oguan bɔɔ no, mese nhwehwɛmu bi a ɛyɛ hyehye nsa anaasɛ biribi a ɛhyehye kaa ne nsa ho — ennyɛ duru koraa, nanso ne nhwiren ayɛ kɔkɔɔ na ɛyɛ no yaw kakra. Mene Ofori — me kɔɔ hɔ na mahunu no na mewoo me bo ase sɛ mɛboa no. Ɔyɛ opanyin enti na m'ani bɔɔ me, nanso ɔhunu ne ho na ɔreka. Yɛhia obi a ɔbɛba nhwɛ no papa."
17,"Agoo! Me pawoɔ kyɛw, me ba Naa Akorkor aburn saa anɔpa yi ha efie ha Sunyani. Ɔredan agorow fi kɔkyene mu ho na ɔkaa adeɛ a ɛyɛ hye no, na ɛhwee agu ne nsa so. Ne ho nhoma no abobɔ bubuo, na ɔsu resu koraa, nanso ɔhunu ne ho na ɔrekan asɛm. Me pawoɔ kyɛw, me din de Fatima, na mehia sɛ montwe me귀 ase nkyerɛ me sɛ mɛyɛ deɛn ama no ansa na yɛabedu hospital no."
18,"Agoo, me pawoɔ kyɛw, boa me. Me kunu Selorm otuu fam nnɛ awia ha yɛn fie Nhyiaeso. Ɔreyɛ adwuma na ɔreda fam fi baabiara so, na ɔslee naa watua fam pintinn ne nʼafunu fa so. Me din de Ama, mene no yɛ aware. Ɔse ne yafunu ne ne koko fa so ɛyɛ no yaw kakra, nanso ɔtumi sɔre na ɔnam, enti minsusu sɛ ɛyɛ den papa. Yɛpɛ sɛ yɛhunu sɛ ɛsɛ sɛ yɛde no kɔ ɔyaresabea, anaa yɛnyɛ dɛn?"
19,"Me pawoɔ kyɛw, biribi aba ha wɔ Bantama yi awia yi. Me yɔnkoɔ ba, Issah — ɔredi aduane wɔ ɔkwan nkyɛn aduan hyɛdeɛ a ɛwɔ hɔ no, na kerosene stove no hyehyeɛ enti ogya hyew no firii n'akyiri ara, na hyew no kaa ne koma ho ne ne yafunu ho. Ɛnyɛ den papa — ne honam ara nso ayɛ kɔkɔɔ na ɛyɛ no yaw tiaa, nanso ɔhunu ne ho na ɔrekasakasa nyansapo. Me ne Kweku na mewɔ hɔ bere a ɛkaa saa. Ɛbɛyɛ na obi reba na onoa ne ho, efisɛ yɛnnim sɛ ɛhia aduro anaa dea?"
20,"Me pawoɔ kyɛw, biribi asi wɔ Bolgatanga-Bawku ɔkwan no so, Navrongo baabi. Ɔbarima ketewa bi, Kweku, ɔtenaa kar mu sɛ passenger wɔ dropping taxi bi mu, na tipper truck bi bɔɔ wɔn. Menim saa nea ɛsii no pefee, nanso bere a yɛduu hɔ no, ɔtenaa fam, ɔde ne nsa kyeree ne tiri, na ne kɔn yɛɛ no yaw. Ɔhunu ne ho, nanso ɔte sɛ obiara a n'adwene ayɛ ketefe. Mpaem kakra bi wɔ ne tiri so a mogya retu firi mu. Me din de Adwoa — meyɛ obi a yɛgyinaa hɔ de mmoa no no. Me pawoɔ kyɛw, yehia onipa bi mmra ha, efisɛ yɛnnim saa nea ɛyɛ den no nyinaa — soma ambulance mmra me pawoɔ kyɛw."
21,"Me pawoɔ kyɛw, mepɛ sɛ meka biribi a ɛsii ha wɔ Ho town centre. Abofra bi wɔ ha, ne din de Kpodo, na ɔreyɛ adwuma — mete sɛ ɔreboa kari adehyɛde anaasɛ ɔreyɛ labour adwuma bi — na biribi tuu fam sii ne basa so maa ɛyɛ no yaw. Me din de Fatima, mene onipa a ɔrefrɛ no; na mewɔ beae no nkyɛn ara a ɛsii. Abofra no basa no ahwee kakra, nanso ɔtumi nante kakra daa, enti enni sɛ ɛyɛ den paa. Nanso obi bi a ɔmmra nhwɛ no, efisɛ ɔyɛ abofra, na yɛpɛ sɛ yɛhunu sɛ ɔho tɛ ase."
22,"Me pawoɔ kyɛw, biribi asi wɔ Cape Coast-Elmina ɔkwan so na mepɛ sɛ meka amanneɛ no ama mo. Me nuabaa Adwoa na ɔwɔ trotro bi mu, na kar foforɔ bi bɔɔ won — kar no baa firii baabi amma wɔanyɛ ho hunu na ɔbɔɔ wɔn. Wɔabubu no wɔ ne ti, na ɔreka sɛ ne kɔn yɛ no yaw paa, nanso ɔhunu ne ho, na ɔreka. Mene Selorm, mewɔ ne nkyɛn seesei wɔ ɔkwan aboɔ. Yɛhia obi mmra bɔ yɛn mmoa efisɛ mogya no ntumi nsi."
23,"Me pawoɔ kyɛw, biribi bɔne paa na ɛasi ha wɔ yɛn fifiri dan so wɔ Tamale. Me nua Boateng, kar bi bɔɔ no wɔ ɔkwan so bere a ɔresan aba fie, na wɔde no brɛɛ ha, nanso ne nan no yɛ bɔne paa — ɛkyɛ na mogya pɔtɔpɔtɔ refiri no mu, yɛntumi nsi no. Ɔyɛ abofra, ebia mfe dunukron, na ɔsu na ɔwosowoso na yɛn koma atɔ yɛn ase amfa no ho. Me din de Hamza, me na mefrɛ no, me pawoɔ kyɛw, mmoa mmra ha ntɛm ntɛm efisɛ yɛnnim dɛ yɛnyɛ dɛn."
24,"Me pawoɔ kyɛw, biribi bɔne paa aba ha wɔ Asokwa, Kumasi — opanyin bi a wɔfrɛ no Owusu hwe kɔɔ nsu mu na ɛkeka se ɔbɛwu, na yɛsuro no paa. Ɔhome dodo, nanso ɔhome no yɛ brɛoo na ɛtim, na ne ti ne ne kɔn yɛ hyew yɛ hyew na ɛnhia sɛ biribi bɔne paa wɔ ne mu. Me din de Kwame, mene no nnɔmbaa, na me na metwe no fii nsu mu no, nanso ɔnyi nnyi ase koraa. Me pawoɔ kyɛw, mmoa mmra ha ntɛm ntɛm efisɛ onipa yi yɛ opanyin na ɔyɛ hu paa."
25,"Me din de Issah. Merefrɛ ama meka accident bi a ɛsii ha wɔ Suhum. Ɔbaa panyin bi, Adwoa, ɔrekɔ twa ɔkwan no so no, trotro bi bɔɔ no na ɔtuu fam. Ɛnyɛ kɛse paa saa, nanso ne nan yɛ no yaw — ɔkaa sɛ ɛyɛ no yaw, na mogya kakra rei firi hɔ. Ɔtumi yi ne nan so kakra kakra, nanso ɔhia onipa bi a obɛhwɛ no yiye."
26,"Me pawoɔ kyɛw, asɛm a ɛyɛ den paa aba ha Techiman. Me yɔnko ba, Abenaa, kar buaa no wɔ ɔkwan kesee so nnɛ awia yi — kar no bɔɔ no ma otuu fam yie. Ne titiw no, mete sɛ ne dompe atwa, efisɛ ɛkeka akyinkyin sɛ ɛnkyɛ na ɔntumi nsakra no koraa, na mogya pii apue. Ramatu wɔ ha me nkyɛn na yɛn nyinaa reyɛ nea yɛtumi boa no, nanso abofra no da hɔ pɛpɛɛpɛ, ɔnhunu ne ho yie. Me pawoɔ kyɛw, soma mmoa mmra ntɛm — abofra yi hia hospital seesei ara."
27,"Me pawoɔ kyɛw, asɛm bi abɛsi me wofa papa ha wɔ Adum, Kumasi. Kwabena tuu fam anɔpa yi — ɔsuruu kɔ faako a ɛbɛn ɔpono ano no ho, na ne ti buiɛ fam. Ɔyɛ opanyin, enti yɛsuro yiye, na ne kɔn nso ɛyɛ no yaw, na ontumi ntwi no yiye. Me ne Abenaa, meyɛ ne nkorɔmmea, na seesei ɔhunu ne ho, nanso ɔbɔ nkaamu kakra na ɔka sɛ ne ti yɛ no yaw paa. Yehia obi mmra nhwɛ no, efisɛ ontumi nsɔre ne ho ankasa."
28,"Me din de Ofori. Mefrɛ wo de ɛhia wɔ N1 highway a ɛbɛn Kasoa hɔ. Opanyin bi, Yaw, ɔtuu fam — medwene sɛ ɔpruuu wɔ ɔkwan nkyɛn — na ne nan ahu yaw paa, ebia ne basa nso. Ɔtumi kɔ kakra kakra, nanso ɛyɛ no yaw kɛse, na ɔntumi ngyina ne nan so a ɔnni mmoa. Ɔnyɛ aberante koraa, enti yɛsuro ne ho paa."
29,"Me pawoɔ kyɛw, biribi a ɛyɛ hu paa aba ha faako a ɛbɛn Adidome wɔ Ho-Accra ɔkwan so no. Opanyin bi, Wiredu — ɔyɛ me kunu agya — ɔrekɔ twa Volta wɔ dua-kɔ bi so na kɔ no mu kɔ hyɛɛ fam wɔ nsuo mu. Yɛatumi de no afi nsuo mu aba, nanso ɔkɔɔ ase teetee mu. Ɔrehome, nanso homehome no yɛ brɛ paa, na sɛ yɛfrɛ no ne din a, ɔnhunu hwee. Ne yam ho nhwiren no yɛ hu — ɛnyɛ saa a ɛsɛ saa. Me din de Dzifa. Me pawoɔ kyɛw, mmoa mmra ha ntɛm paa — efisɛ ɔyɛ opanyin na yɛn akoma rebo yie."
30,"Me nuabarima Ibrahim wɔ accident — ɔtene aboboyaa mu, na aboboyaa no dan fam nnora awia yi ha faako a yɛte Mamprobi. Ɔtuu fam na ne nan abubu, nanso ɔnantew kakra kakra enti mennihu sɛ ɛyɛ den paa. Me ne Abigail, yɛte ase ne no. Yɛpɛ sɛ yɛhunu sɛ ɔnsɛ sɛ ɔkɔ hospital anaa yɛbɛtumi atwɛn no fie, efisɛ ne nan ahoru kakra."
31,"Me pawoɔ kyɛw, biribi a ɛyɛ den paa abeye wɔ Kumasi-Sunyani ɔkwan no so, Techiman baabi. Me nana, Mawuli, ɔkɔɛ accident mu — kar bi bɔɔ ne kar a na ɔrekoɛ mu no, na wɔabubu no yiye wɔ ne yafunu ne ne kɔkɔɔ babi. Opanyin no, ɛyɛ no yaw paa, na ɔntumi ntena ase ne ho ankasa. Me ne Hadija, mewɔ ha na mɛtɔ n'akyi seesei, na yɛreyɛ sɛ yɛde no kɔ hospital, nanso yɛhia mmoa ntɛm paa, efisɛ ne yare no yɛ den pa ara."
32,"Me pawoɔ kyɛw, biribi bɔne bi asisi yɛn fie ha wɔ Dichemso. Mmarima bi kɔsɔɔ Owusu, opanyin a ɔte entrance ho no — wɔbubuɔɔ no wɔ ne ti ne ne kɔn ho. Mene Amoah, mene ne yɔnko, na sɛ meniee dede no a mepuiɛ abɔɔ mfuom hwɛɛ no, na ɔtee fam, ɔyɛɛ sɛ onim biribi nkyerɛ, na ne kɔn yɛɛ no yaw paa. Ɔnhunu ne ho ampa, nanso ɔnyɛ ɔnyɛ hunu tumtum — ɔhunu ne ho kakra, nanso ɔntaa koraa. Opanyin no hia mmoa, boa yɛn me pawoɔ kyɛw."
33,"Agoo! Me nuabea Araba aka accident wɔ ɔkwan so yi awia yi — wɔ Kumasi ne Tamale ɔkwan no so, bebi a ɛbɛn Ejura. Kar bi bɔɔ ne kar a ɔregyina mu no, na ɔbuaa ne ti yiye — ne kɔn nso ɛyɛ no yaw paa. Ɔhunu ne ho na ɔreka asɛm, nanso ɔte sɛ obiara a ɔne ne ho nte aseɛ, na ne ti ho ho ayɛ hu bebree. Me pawoɔ kyɛw, boa me — yɛnnim sɛ ɛyɛ safe sɛ yɛsɛ no anaa dabi, enti yɛhia mmoa ntɛm ara!"
34,"Me nuabaa Ekua atuu fam pintinn wɔ ha wɔ Takoradi aponkyerene no mu, me pawoɔ kyɛw, soma obi mmra ntɛm ntɛm. Ɔsuruu na ɔtoo ne tirim ase fam, na seesei ɔnnkasa biara na ne kɔn mu nso ɛnyɛ yiye — ɛte sɛ biribi ayɛ no den wɔ hɔ. Me ne Asare, na mewɔ ne nkyɛn a ɛkaa saa. Ɔhome, nanso ɔnyi ne ho nkorɔ biara, na mogya retu fi ne tirim mu — ɛyɛ den paa, me pawoɔ kyɛw bra ntɛm ntɛm."
35,"Me pawoɔ kyɛw, mepɛ sɛ meka biribi a asi ha wɔ Nima. Me yɔnko ba, Issah, mmarimafoɔ bi bɔɔ no anwumere yi wɔ ɔkwan ho — wɔkɔɔ no, na wɔtaa no na ne nsa so awo fɛ kɛse, na ɛaho ahohoɔ saa. Fuseini na ɛyɛ me din, na mene nea ɛrefrɛ no. Abofra no nhu hunu kwa, nanso aho akyekye no paa, na ne nsa yɛ no yaw dodo. Yɛhwehwɛ se yɛfa no kɔ baabi anaa yɛnyɛ dɛn — bɔ yɛn kwan na yɛnhunu nea yɛbɛyɛ."
36,"Me pawoɔ kyɛw, biribi aba ɔkwan so wɔ Bawku ɔkwan no so, Zebilla nkyɛn. Ɔbarima ketewa bi, Nii Kwei, tipper truck bi bɔɔ no, na ɔtuu fam yie wɔ ɔkwan no so. Ɔhunu ne ho — ɔanyɛ unconscious anaa biribi saa — nanso ne nan no yɛ hu yie — anka ne dompe atwa, anaa ɛbubu yie, yɛnnim pɛ. Me din de Akosua, mekɔɔ hɔ a na ɛbaa saa, na nnipa bi ahyia ho. Ɔhia mmoa sɛ wɔmmra de no aba, efisɛ ɔntumi ngyina ne nan so koraa."
37,"Agoo! Me nuabaa Abena, OA taxi bi bɔɔ no wɔ yɛn efie anim ha Navrongo. Ɔyɛ abofra, ne mfeɛ bɛyɛ dunsia pɛ. Motor no bɔɔ ne nan, nanso ɔte ase — ɔnyɛɛ anyɛ hunu anaa biribiara saa — ne nan kɛkɛ na ɛyɛ no yaw kakra, na wɔasei no wɔ hɔ. Me din de Araba, mene onipa a ɔrefrɛ no. Me pawoɔ kyɛw, yɛpɛ sɛ monyɛ yɛn adwemma sɛ deɛn na yɛnyɛ ma no seesei?"
38,"Me pawoɔ kyɛw, me din de Ofori, na mepɛ sɛ meka biribi a ɛsii ɔbaa panyin bi ha Savelugu ho, wɔ Tamale-Yendi ɔkwan so. Wɔfrɛ no Naa Dedei, ɔyɛ opanyin paa, na ɔreyɛ adwuma wɔ afuo bi a ɛwɔ ɔkwan ho no, na biribi tuu no — mete sɛ ɛfiri aboboyaa a ɔnam so retwaa so no so. Ɛyɛ no yaw ne yafunu ho ne ne akyi ho, nanso ɔhunu ne ho na ɔkasa da da, enti ɛnyɛ bɔne pa ara, nanso ɔhia mmoa. Mewɔ ne ho seesei yi na ɔntumi nnante papa."
39,"Me pawoɔ kyɛw, me nuabaa Afia na ɔkaa kar accident wɔ Suame ha, Kumasi — ɛnyɛ akyiri papa saa fie no ho. Ɔreba fie no na kar bi bɔɔ no, nanso Onyame adom, ɛnyɛ den papa. Ɔwɔ yaw wɔ ne yafunu ne ne breast area ho — sɛ wɔbɔɔ no hɔ — nanso ɔhunu ne ho na ɔreka asɛm. Me din de Agyeman, mewɔ ne ho ha fie. Me pawoɔ kyɛw, yɛpɛ sɛ yɛhu deɛ yɛbɛyɛ ma no."
40,"Me din de Afia, mɛfrɛ mo efisɛ accident yɛɛ wo Tamale-Yendi ɔkwan no so, Savelugu nkyɛn. Ɔbarima bi, wɔfrɛ no Appiah, ɔtene trotro a articulated truck bɔɔ mu no mu, na wɔn pumpu no pɛɛ adi. Wɔabubu no wɔ ne ti so na ne kɔn yɛ no yaw, nanso ɔhunu ne ho na ɔreka asɛm, enti ɛnyɛ hu papa. Yɛn da ɔkwan nkyɛn seisei, na yɛhwɛ sɛ obi mmra nhwɛ no kakra."
41,"Me nuabarima Yaw atua accident wɔ Accra-Kumasi highway no so, Nsawam ho faako. Mene Baffour, ɔne me nuabarima. Obi frɛɛ me se kar bi bɔɔ no wɔ n'akyi bere a ɔrekɔ twa ɔkwan no so. Ɔba koraa, ne mfeɛ bɛyɛ dunsia anaa aduonu. Sɛ wɔkyerɛɛ me no, ne srade ne n'abowaa yɛ no yaw paa, na ɔntumi nsɔre trenee, nanso ɔhunu ne ho na ɔrekan asɛm. Me pawoɔ kyɛw, boa yɛn mfa no kɔ hospital ntɛm ara — wɔhia mmoa paa."
42,"Me pawoɔ kyɛw, mepɛ sɛ meka biribi a ɛtoo ha Savelugu anwumere yi. Mʼabɔfoɔ, Fuseini — ɔyɛ opanyin — ɔne san fi dwam bae no, mmarima bi de no twaa so bɛpɛɛ sɛ wɔde ne sika kɔ. Wɔpushaa no fam na wɔbuaa ne bɔne no mu bere a ɔpɛɛ sɛ ɔtaa ano, na seesei ne bɔne no ayɛ bloated na ɔntumi nyi no soɔ koraa. Ɛyɛ ne yaw, nanso ɔhunu ne ho na ɔrekan. Mene Abubakar — obiara frɛɛ me bere a ɛtoo no. Me pawoɔ kyɛw, mma obi mmra mmoa no, efisɛ ɔyɛ opanyin."
43,"Me pawoɔ kyɛw, mepɛ sɛ meka accident bi a ɛsii Cape Coast-Elmina ɔkwan so. Ɔbarima kɔkɔɔ bi a wɔfrɛ no Darkwa, aboboyaa bɔɔ no bere a ɔretu ɔkwan so, na ɔtuu fam. Me de, mfrɛ me Edem — na megyinagyina hɔ ara na asiane no. Ɔhunu ne ho na ɔrekan, nanso ne nan yɛ no yaw kakra na ɔwɔ ntafiraw bi wɔ so. Yɛhia sɛ obi mmra nhwɛ no, efisɛ yɛnhunu sɛ ne dompe atwa anaasɛ dea."
44,"Me pawoɔ kyɛw, asɛm kɛseɛ bi asi ha wɔ Dansoman. Me maame panyin Efua, ɔtuu fam saa anɔpa yi, na ɔhyɛ ɔhaw paa — ne nan baako abɛn so saa na ɛnhwɛ sɛ ɛfata koraa, na ɔntumi mfi ne nan no so. Ɔrebebɔ fam fi dan no apampam so na ɔkɔɛɛ fam tɔɔ. Mene Naa, meyɛ ne nana baa, na yɛn hu suro paa efisɛ ɔyɛ opanyin na ɔsu efisɛ ɛyɛ no yaw. Me pawoɔ kyɛw, mmoa mmra ntɛm ara — yehia mmoa!"
45,"Me pawoɔ kyɛw, me ba Abigail na ɔrekɔ wɔ Hohoe-Jasikan ɔkwan so a trotro bɔɔ no firi n'akyi. Ɔba ketewa, ne mfeɛ yɛ bɛyɛ du ason. Me ne ne maame, me din de Hadija. Ɔwɔ yaw wɔ n'akonkoronfi ho kakra, na ɔwɔ ntasie kakra ne ne ti so, nanso ɔhunu ne ho — ɔkasa rekyerɛ yɛn. Yɛn nyinaa wɔ ne ho sɛi yi, na ɔte sɛ ɔho yɛ no, nanso mepɛɛ sɛ obiara hu asɛm a asii."
